equipment_id,month,failures,downtime_hours,maintenance_cost_usd,events,equipment_type,field_id,criticality
EQ-0001,2022-01-01,1,11.48,6055.05,2,Pump,FIELD-001,Medium
EQ-0001,2022-03-01,2,33.28,19997.36,2,Pump,FIELD-001,Medium
EQ-0001,2022-05-01,0,7.31,2046.88,1,Pump,FIELD-001,Medium
EQ-0001,2022-08-01,0,4.13,4262.54,1,Pump,FIELD-001,Medium
EQ-0001,2022-12-01,1,46.97,29462.0,3,Pump,FIELD-001,Medium
EQ-0001,2023-03-01,0,8.79,4037.81,1,Pump,FIELD-001,Medium
EQ-0001,2023-06-01,0,4.93,1261.46,1,Pump,FIELD-001,Medium
EQ-0001,2023-07-01,1,21.8,4678.48,1,Pump,FIELD-001,Medium
EQ-0001,2023-10-01,1,24.89,20628.08,3,Pump,FIELD-001,Medium
EQ-0001,2024-01-01,0,5.07,1316.11,1,Pump,FIELD-001,Medium
EQ-0001,2024-04-01,0,4.7,7815.219999999999,2,Pump,FIELD-001,Medium
EQ-0001,2024-07-01,0,6.44,6021.5,1,Pump,FIELD-001,Medium
EQ-0001,2024-09-01,1,40.7,11630.49,1,Pump,FIELD-001,Medium
EQ-0001,2024-10-01,0,6.02,2799.88,1,Pump,FIELD-001,Medium
EQ-0001,2024-12-01,1,12.76,3637.6,1,Pump,FIELD-001,Medium
EQ-0002,2022-04-01,0,9.28,3649.94,2,Pump,FIELD-001,Medium
EQ-0002,2022-06-01,1,13.88,43379.77,1,Pump,FIELD-001,Medium
EQ-0002,2022-08-01,0,8.09,7100.81,1,Pump,FIELD-001,Medium
EQ-0002,2022-10-01,1,11.37,4549.75,1,Pump,FIELD-001,Medium
EQ-0002,2022-12-01,0,7.02,5150.3,2,Pump,FIELD-001,Medium
EQ-0002,2023-03-01,1,23.07,10731.75,2,Pump,FIELD-001,Medium
EQ-0002,2023-04-01,1,19.66,9654.02,1,Pump,FIELD-001,Medium
EQ-0002,2023-06-01,0,3.53,2250.06,1,Pump,FIELD-001,Medium
EQ-0002,2023-07-01,1,36.97,7566.53,1,Pump,FIELD-001,Medium
EQ-0002,2023-09-01,0,8.11,2866.73,2,Pump,FIELD-001,Medium
EQ-0002,2023-11-01,2,23.95,20671.67,2,Pump,FIELD-001,Medium
EQ-0002,2023-12-01,1,11.63,3018.35,1,Pump,FIELD-001,Medium
EQ-0002,2024-01-01,0,3.88,2184.39,1,Pump,FIELD-001,Medium
EQ-0002,2024-05-01,0,9.25,3600.68,2,Pump,FIELD-001,Medium
EQ-0002,2024-07-01,1,3.7,968.9,1,Pump,FIELD-001,Medium
EQ-0002,2024-08-01,4,63.91,70953.7,5,Pump,FIELD-001,Medium
EQ-0002,2024-11-01,0,7.48,4274.99,2,Pump,FIELD-001,Medium
EQ-0003,2022-01-01,0,8.48,4648.26,2,Pump,FIELD-001,Medium
EQ-0003,2022-05-01,0,3.35,3989.56,1,Pump,FIELD-001,Medium
EQ-0003,2022-08-01,0,5.44,1872.05,1,Pump,FIELD-001,Medium
EQ-0003,2022-11-01,0,7.29,3714.0600000000004,2,Pump,FIELD-001,Medium
EQ-0003,2023-02-01,0,6.62,24169.3,1,Pump,FIELD-001,Medium
EQ-0003,2023-04-01,1,21.37,7028.29,1,Pump,FIELD-001,Medium
EQ-0003,2023-05-01,0,9.61,6980.63,2,Pump,FIELD-001,Medium
EQ-0003,2023-08-01,1,6.68,2800.93,1,Pump,FIELD-001,Medium
EQ-0003,2023-09-01,2,75.85,32970.55,4,Pump,FIELD-001,Medium
EQ-0003,2023-12-01,1,27.92,12312.97,3,Pump,FIELD-001,Medium
EQ-0003,2024-04-01,1,58.599999999999994,18074.81,3,Pump,FIELD-001,Medium
EQ-0003,2024-07-01,1,29.3,23380.77,2,Pump,FIELD-001,Medium
EQ-0003,2024-10-01,1,17.67,10384.130000000001,3,Pump,FIELD-001,Medium
EQ-0003,2024-12-01,1,2.63,1468.44,1,Pump,FIELD-001,Medium
EQ-0004,2022-03-01,0,1.73,480.7,1,Pump,FIELD-001,Medium
EQ-0004,2022-05-01,1,7.84,6083.09,1,Pump,FIELD-001,Medium
EQ-0004,2022-06-01,1,10.46,3494.17,1,Pump,FIELD-001,Medium
EQ-0004,2022-07-01,0,12.59,4775.23,2,Pump,FIELD-001,Medium
EQ-0004,2022-10-01,2,61.1,25800.32,3,Pump,FIELD-001,Medium
EQ-0004,2022-11-01,1,10.16,3321.84,1,Pump,FIELD-001,Medium
EQ-0004,2023-01-01,0,4.06,1180.7,1,Pump,FIELD-001,Medium
EQ-0004,2023-04-01,0,4.61,2799.61,1,Pump,FIELD-001,Medium
EQ-0004,2023-06-01,2,84.02,37538.02,2,Pump,FIELD-001,Medium
EQ-0004,2023-07-01,1,33.05,36696.14,1,Pump,FIELD-001,Medium
EQ-0004,2023-08-01,0,5.46,6707.78,1,Pump,FIELD-001,Medium
EQ-0004,2023-09-01,1,8.42,5048.1,1,Pump,FIELD-001,Medium
EQ-0004,2023-10-01,1,8.55,24267.6,1,Pump,FIELD-001,Medium
EQ-0004,2023-11-01,0,10.129999999999999,7099.900000000001,2,Pump,FIELD-001,Medium
EQ-0004,2024-02-01,0,4.84,1222.67,1,Pump,FIELD-001,Medium
EQ-0004,2024-06-01,0,9.21,3432.3500000000004,2,Pump,FIELD-001,Medium
EQ-0004,2024-08-01,1,62.1,22379.61,1,Pump,FIELD-001,Medium
EQ-0004,2024-09-01,0,6.5600000000000005,2301.92,2,Pump,FIELD-001,Medium
EQ-0004,2024-11-01,1,18.29,4819.69,1,Pump,FIELD-001,Medium
EQ-0004,2024-12-01,1,21.16,22399.16,3,Pump,FIELD-001,Medium
EQ-0005,2022-02-01,1,22.75,36592.96,1,Compressor,FIELD-001,High
EQ-0005,2022-03-01,1,23.02,22494.059999999998,2,Compressor,FIELD-001,High
EQ-0005,2022-06-01,0,10.52,19884.01,1,Compressor,FIELD-001,High
EQ-0005,2022-09-01,0,15.8,4980.02,2,Compressor,FIELD-001,High
EQ-0005,2022-10-01,1,21.37,24802.7,1,Compressor,FIELD-001,High
EQ-0005,2022-12-01,0,14.43,13231.24,2,Compressor,FIELD-001,High
