equipment_id,equipment_name,equipment_type,field_id,manufacturer,installation_date,criticality,status,maintenance_events,total_downtime_hours,maintenance_cost_usd,failures,corrective_downtime_hours,corrective_cost_usd,period_hours,operating_hours,availability_pct,mtbf_hours,mttr_hours,failures_per_year,equipment_age_years_at_end
EQ-0001,Pump 001-01,Pump,FIELD-001,Norvane Systems,2017-05-22,Medium,In Service,22,239.27,125650.46,8,167.95000000000002,84669.98,26304.0,26064.73,99.09036648418491,3258.09125,20.993750000000002,2.6660583941605838,7.611225188227242
EQ-0002,Pump 001-02,Pump,FIELD-001,Vantor Process,2017-11-19,Medium,In Service,28,264.78000000000003,202572.34,13,190.03,161548.0,26304.0,26039.22,98.99338503649635,2003.0169230769231,14.617692307692307,4.3323448905109485,7.115674195756331
EQ-0003,Pump 001-03,Pump,FIELD-001,Omnigrid Industrial,2015-01-08,Medium,In Service,27,280.81,153794.75,9,194.47,76486.35,26304.0,26023.19,98.93244373479318,2891.4655555555555,21.607777777777777,2.9993156934306566,9.979466119096509
EQ-0004,Pump 001-04,Pump,FIELD-001,Norvane Systems,2014-11-08,Medium,In Service,29,384.34,221848.6,13,311.58,184916.19,26304.0,25919.66,98.53885340632604,1993.82,23.967692307692307,4.3323448905109485,10.146475017111568
EQ-0005,Compressor 001-05,Compressor,FIELD-001,Kestrel Dynamics,2018-06-22,High,In Service,24,518.26,350545.17,11,396.31,263234.9,26304.0,25785.74,98.0297293187348,2344.158181818182,36.02818181818182,3.665830291970803,6.52703627652293
EQ-0006,Compressor 001-06,Compressor,FIELD-001,Omnigrid Industrial,2015-06-08,High,In Service,26,513.47,351927.69,10,389.25,248443.7,26304.0,25790.53,98.04793947688565,2579.053,38.925,3.3325729927007295,9.566050650239562
EQ-0007,Separator 001-07,Separator,FIELD-001,Tarsis Machinery,2009-08-08,High,In Service,21,229.41,149266.79,5,149.35,69785.84,26304.0,26074.59,99.12785127737226,5214.918,29.869999999999997,1.6662864963503647,15.397672826830938
EQ-0008,Separator 001-08,Separator,FIELD-001,Vantor Process,2019-01-24,Medium,In Service,21,192.28,168077.41999999998,7,125.47999999999999,96895.23,26304.0,26111.72,99.26900851581509,3730.2457142857143,17.925714285714285,2.332801094890511,5.935660506502396
EQ-0009,Generator 001-09,Generator,FIELD-001,Norvane Systems,2018-03-04,High,In Service,23,176.65,112435.06,7,104.28,75053.49,26304.0,26127.35,99.32842913625304,3732.4785714285713,14.897142857142857,2.332801094890511,6.828199863107461
EQ-0010,Valve 001-10,Valve,FIELD-001,Norvane Systems,2020-11-27,Low,In Service,19,103.67999999999999,131625.03999999998,3,29.95,48882.34,26304.0,26200.32,99.60583941605839,8733.44,9.983333333333333,0.9997718978102189,4.093086926762491
EQ-0011,Heat Exchanger 001-11,Heat Exchanger,FIELD-001,Omnigrid Industrial,2018-06-07,Medium,In Service,18,282.87,102908.25,4,212.01999999999998,60214.6,26304.0,26021.13,98.92461222627738,6505.2825,53.004999999999995,1.3330291970802919,6.568104038329911
EQ-0012,Pipeline Equipment 001-12,Pipeline Equipment,FIELD-001,Tarsis Machinery,2014-10-27,Medium,In Service,15,111.99000000000001,77905.56,2,48.010000000000005,24382.29,26304.0,26192.01,99.57424726277372,13096.005,24.005000000000003,0.6665145985401459,10.179329226557153
