field_id,month,oil_bbl,gas_mcf,water_bbl,potential_bbl,loss_bbl,downtime_loss_bbl,downtime_hours,maint_attributed_downtime_hours,lost_revenue_usd,well_days,loss_pct,oil_sold_bbl,gas_sold_mcf,revenue_usd,cost_energy_usd,cost_labor_usd,cost_maintenance_usd,cost_other_usd,cost_production_usd,cost_transportation_usd,cost_utilities_usd,opex_total_usd,cost_per_bbl_oil_sold,cost_per_boe_sold,revenue_per_bbl_oil_sold,operating_margin_usd
FIELD-001,2022-01-01,133148.9,121539.4,101798.9,142729.8,9580.9,4791.547375,421.61,345.468,632277.679,464,6.712613623784242,131107.7,111988.1,8985693.87,106604.7,626435.28,39147.51,164012.44,1120706.5,389771.79,183220.14,2629898.36,20.059068689329457,17.559300997079674,68.53673636254773,6355795.51
FIELD-001,2022-02-01,118887.1832917,108681.6,92669.9,127976.4,9089.2167083,4852.5436666666665,394.21000000000004,367.26,581118.0129845439,420,7.102260032552878,117096.1,99925.9,7878742.98,98488.88,568058.6799999999,70620.67,126877.0,1004642.41,352613.8,171829.58000000002,2393131.02,20.437324727296637,17.892512633917026,67.28441835381366,5485611.960000001
FIELD-001,2022-03-01,120971.32898779999,111278.6,96461.4,139464.2,18492.8710122,14326.114041666668,1233.51,1166.3819999999998,1208181.349587396,464,13.259941269659166,119129.5,102540.4,8207585.4399999995,109387.43,628784.16,93298.84000000001,149068.13,1059200.85,358257.51,181911.51,2579908.4299999997,21.656335584385058,18.939338107814663,68.89633079967598,5627677.01
FIELD-001,2022-04-01,125147.237028,116911.8,104259.6,132618.9,7471.662971999999,3624.2867499999998,192.35,134.24,554511.344175434,450,5.6339352626209385,123410.0,107446.8,9566776.39,106148.99,610410.91,5647.73,144925.33,1063668.15,373449.27,177639.04,2481889.42,20.110926343084028,17.56246856376196,77.52026894092862,7084886.970000001
FIELD-001,2022-05-01,123640.6924213,115549.8,105550.8,135013.6,11372.907578699998,7094.932333333333,622.52,607.73,913898.2969831739,465,8.423527391833117,121805.2,106299.7,10047158.25,105005.41,629573.11,69121.76000000001,148474.77,1072397.96,365057.3,185066.31,2574696.62,21.13782186638994,18.453720583005598,82.48546244331112,7472461.63
FIELD-001,2022-06-01,117344.6091151,109830.3,101376.4,128373.0,11028.3908849,6614.552583333333,536.86,502.574,805325.434884495,449,8.590895971037524,115941.0,101319.8,8796475.01,96818.95,614293.19,94981.87,156448.8,1030229.08,348376.05,182756.72,2523904.6599999997,21.768870891229156,19.001352329045986,75.870270309899,6272570.35
FIELD-001,2022-07-01,135711.8315107,134234.9,113139.2,143836.1,8124.2684893000005,3743.0585,333.9,274.616,665659.381300685,490,5.64828196071779,133679.3,123596.3,11420739.19,96220.72,665220.69,12866.789999999999,156387.31,1159395.37,398276.68,186529.5,2674897.06,20.009807501984227,17.338085872956526,85.43386440533426,8745842.129999999
FIELD-001,2022-08-01,135037.6,134839.8,113182.6,144842.7,9805.1,5342.578875,474.05,409.63599999999997,731914.704,495,6.769481651474323,133028.5,124086.0,10399912.83,91165.37,669805.35,32653.25,147575.9,1162936.81,394676.7,183306.96,2682120.3400000003,20.161997917739434,17.449281534322864,78.1780808623716,7717792.49
FIELD-001,2022-09-01,127490.7743942,127658.6,109176.1,136974.2,9483.425605800001,4966.942875000001,419.17,385.536,665375.683576702,480,6.9235123153119345,125668.4,117579.4,9283548.92,87484.81,651156.77,21606.91,134124.9,1111719.58,378748.8,179201.79,2564043.56,20.403248231058882,17.650804724883194,73.87337564574706,6719505.359999999
FIELD-001,2022-10-01,126319.0043685,125535.2,110822.4,138481.6,12162.5956315,8227.662916666666,673.6800000000001,613.378,826302.392541373,495,8.78282431131645,124577.7,115631.2,8875767.47,91756.12,648777.95,62116.07,148586.98,1114459.18,374056.18,187889.74,2627642.2199999997,21.092396311699442,18.266598091941884,71.24684008454162,6248125.250000001
