field_id,month,exposure_hours,incidents,lost_time_incidents,days_lost,recordable_incidents,incident_rate_per_200k_h,ltir_per_200k_h
FIELD-001,2022-01-01,13920.0,2.0,0.0,0.0,0.0,28.735632183908045,0.0
FIELD-001,2022-02-01,12600.0,2.0,0.0,0.0,0.0,31.746031746031747,0.0
FIELD-001,2022-03-01,13920.0,3.0,0.0,0.0,1.0,43.10344827586207,0.0
FIELD-001,2022-04-01,13500.0,5.0,1.0,2.0,1.0,74.07407407407408,14.814814814814815
FIELD-001,2022-05-01,13950.0,2.0,0.0,0.0,0.0,28.67383512544803,0.0
FIELD-001,2022-06-01,13470.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-001,2022-07-01,14700.0,6.0,1.0,2.0,1.0,81.63265306122449,13.605442176870747
FIELD-001,2022-08-01,14850.0,5.0,2.0,9.0,2.0,67.34006734006734,26.936026936026938
FIELD-001,2022-09-01,14400.0,1.0,0.0,0.0,0.0,13.88888888888889,0.0
FIELD-001,2022-10-01,14850.0,3.0,0.0,0.0,1.0,40.4040404040404,0.0
FIELD-001,2022-11-01,14400.0,4.0,0.0,0.0,1.0,55.55555555555556,0.0
FIELD-001,2022-12-01,14880.0,7.0,1.0,2.0,1.0,94.08602150537635,13.440860215053764
FIELD-001,2023-01-01,14880.0,1.0,0.0,0.0,0.0,13.440860215053764,0.0
FIELD-001,2023-02-01,13440.0,7.0,1.0,3.0,1.0,104.16666666666667,14.880952380952381
FIELD-001,2023-03-01,15150.0,1.0,0.0,0.0,0.0,13.201320132013201,0.0
FIELD-001,2023-04-01,15300.0,2.0,0.0,0.0,0.0,26.143790849673202,0.0
FIELD-001,2023-05-01,15810.0,3.0,0.0,0.0,0.0,37.95066413662239,0.0
FIELD-001,2023-06-01,15270.0,3.0,0.0,0.0,0.0,39.29273084479372,0.0
FIELD-001,2023-07-01,15810.0,3.0,1.0,4.0,1.0,37.95066413662239,12.65022137887413
FIELD-001,2023-08-01,15750.0,1.0,0.0,0.0,0.0,12.698412698412698,0.0
FIELD-001,2023-09-01,15270.0,5.0,2.0,7.0,3.0,65.48788474132286,26.195153896529142
FIELD-001,2023-10-01,15810.0,6.0,0.0,0.0,0.0,75.90132827324479,0.0
FIELD-001,2023-11-01,16200.0,2.0,0.0,0.0,2.0,24.691358024691358,0.0
