material_id,warehouse_id,avg_closing_stock,total_consumption,total_receipts,stockout_days,days,avg_reorder_level,unit_cost,stockout_rate_pct,avg_inventory_value_usd,consumption_value_usd,inventory_turnover,days_of_inventory,material_name,material_category,primary_supplier_id
MAT-001,WH-003,9.252737226277372,304.0,288.0,17,1096,8.0,104.84,1.551094890510949,970.0569708029196,31871.36,10.949216053643624,33.358552631578945,Seals Item 01,Seals,SUP-001
MAT-001,WH-004,8.613698630136986,304.0,288.0,18,1095,8.0,104.84,1.643835616438356,903.0601643835616,31871.36,11.772264631043258,31.02631578947368,Seals Item 01,Seals,SUP-001
MAT-002,WH-001,12.302007299270073,453.0,432.0,10,1096,8.0,241.37,0.9124087591240876,2969.3355018248176,109340.61,12.271619817548023,29.763796909492275,Seals Item 02,Seals,SUP-002
MAT-002,WH-004,11.910502283105023,429.0,416.0,6,1095,8.0,241.37000000000003,0.547945205479452,2874.8379360730596,103547.73000000001,12.014434135868733,30.4009324009324,Seals Item 02,Seals,SUP-002
MAT-003,WH-001,14.023722627737227,566.0,540.0,9,1096,9.0,250.32999999999998,0.8211678832116789,3510.5584854014596,141686.78,13.450325309043592,27.155477031802125,Seals Item 03,Seals,SUP-002
MAT-003,WH-002,9.885036496350365,351.5,338.0,10,1096,7.0,250.32999999999998,0.9124087591240876,2474.5211861313865,87990.995,11.850228447480156,30.822190611664297,Seals Item 03,Seals,SUP-002
MAT-004,WH-002,14.173515981735159,528.5,494.0,4,1095,9.0,108.45,0.365296803652968,1537.117808219178,57315.825000000004,12.437798002577322,29.36613055818354,Seals Item 04,Seals,SUP-002
MAT-004,WH-003,10.542883211678832,384.0,378.0,5,1096,7.0,108.45,0.4562043795620438,1143.3756843065694,41644.8,12.13812202509736,30.091145833333332,Seals Item 04,Seals,SUP-002
MAT-005,WH-003,8.481295620437956,279.5,275.0,16,1096,7.0,187.34,1.4598540145985401,1588.8859215328469,52361.53,10.982451186057768,33.257602862254025,Seals Item 05,Seals,SUP-001
MAT-005,WH-004,12.471259124087592,508.5,494.0,27,1096,11.0,187.34,2.4635036496350367,2336.3656843065696,95262.39,13.588149760397991,26.880039331366767,Seals Item 05,Seals,SUP-001
MAT-006,WH-001,7.850364963503649,227.0,210.0,17,1096,7.0,630.77,1.551094890510949,4951.7747080291965,143184.79,9.636419107391912,37.903083700440526,Bearings Item 01,Bearings,SUP-001
MAT-006,WH-002,6.828923357664234,146.5,140.0,10,1096,5.0,630.77,0.9124087591240876,4307.479986313869,92407.805,7.149325272229272,51.08873720136519,Bearings Item 01,Bearings,SUP-001
MAT-007,WH-002,6.462557077625571,165.5,154.0,11,1095,5.0,1810.3,1.004566210045662,11699.16707762557,299604.64999999997,8.542199533667773,42.7583081570997,Bearings Item 02,Bearings,SUP-001
MAT-007,WH-003,7.845662100456621,236.0,230.0,16,1095,6.0,1810.3,1.461187214611872,14203.00210045662,427230.8,10.033639855662903,36.402542372881356,Bearings Item 02,Bearings,SUP-001
MAT-008,WH-003,7.256843065693431,220.5,207.0,16,1096,6.0,636.55,1.4598540145985401,4619.343453467153,140359.275,10.1260608537122,36.070294784580504,Bearings Item 03,Bearings,SUP-001
MAT-008,WH-004,4.950273722627737,110.5,105.0,5,1096,4.0,636.55,0.4562043795620438,3151.096738138686,70338.775,7.438968758639756,49.099547511312224,Bearings Item 03,Bearings,SUP-001
MAT-009,WH-001,6.991780821917808,184.0,176.0,11,1095,5.0,677.13,1.004566210045662,4734.344547945205,124591.92,8.778213166144202,41.60869565217391,Bearings Item 04,Bearings,SUP-002
MAT-009,WH-004,7.357990867579908,206.0,200.0,6,1095,5.0,677.13,0.547945205479452,4982.316356164383,139488.78,9.338649621447189,39.11165048543689,Bearings Item 04,Bearings,SUP-002
MAT-010,WH-001,4.666514598540146,91.5,90.0,4,1096,3.0,856.73,0.36496350364963503,3997.9430520072992,78390.795,6.534436406295825,55.89617486338798,Bearings Item 05,Bearings,SUP-002
MAT-010,WH-002,7.18418647166362,219.5,207.0,1,1094,5.0,856.73,0.09140767824497258,6154.908075868373,188052.23500000002,10.20069660919906,35.806378132118446,Bearings Item 05,Bearings,SUP-002
MAT-011,WH-001,107.02372262773723,6094.0,5936.0,88,1096,62.0,56.76,8.02919708029197,6074.6664963503645,345895.44,18.97588620436836,19.248112897932394,Lubricants Item 01,Lubricants,SUP-004
MAT-011,WH-002,91.89233576642336,5237.0,5220.0,73,1096,53.0,56.76,6.660583941605839,5215.80897810219,297252.12,18.992535794427784,19.231239259117817,Lubricants Item 01,Lubricants,SUP-004
MAT-012,WH-002,99.29653284671532,5577.0,5510.0,64,1096,35.0,50.61,5.839416058394161,5025.397527372263,282251.97,18.71743055619366,19.513896360050204,Lubricants Item 02,Lubricants,SUP-004
MAT-012,WH-003,68.125,3940.0,3864.0,85,1096,26.0,50.61,7.755474452554744,3447.80625,199403.4,19.273890042188437,18.950507614213198,Lubricants Item 02,Lubricants,SUP-004
MAT-013,WH-003,144.91970802919707,8127.5,7975.0,56,1096,70.0,111.4,5.109489051094891,16144.055474452554,905403.5,18.68999556134784,19.542540756690247,Lubricants Item 03,Lubricants,SUP-004
MAT-013,WH-004,80.0351598173516,4414.5,4379.0,63,1095,39.0,111.4,5.7534246575342465,8915.916803652968,491775.30000000005,18.398262464556105,19.852418167402877,Lubricants Item 03,Lubricants,SUP-004
MAT-014,WH-001,122.48357664233576,7175.0,7134.0,74,1096,45.0,50.38,6.751824817518248,6170.722591240876,361476.5,19.521973376439565,18.709686411149825,Lubricants Item 04,Lubricants,SUP-004
MAT-014,WH-004,95.66849315068494,5336.0,5040.0,54,1095,33.0,50.38,4.931506849315069,4819.778684931507,268827.68,18.604713766144506,19.63212143928036,Lubricants Item 04,Lubricants,SUP-004
MAT-015,WH-001,100.78649635036497,5734.5,5655.0,58,1096,36.0,46.55,5.291970802919708,4691.611405109489,266940.975,18.96150825623291,19.26270816984916,Lubricants Item 05,Lubricants,SUP-004
MAT-015,WH-002,101.57397260273973,5881.5,5852.0,107,1095,38.0,46.55,9.771689497716896,4728.2684246575345,273783.825,19.314424334785368,18.91073705687325,Lubricants Item 05,Lubricants,SUP-004
MAT-016,WH-001,5.835766423357664,116.0,108.0,6,1096,5.0,1875.37,0.5474452554744526,10944.221277372262,217542.91999999998,6.624296435272044,55.13793103448276,Valves Item 01,Valves,SUP-003
MAT-016,WH-004,5.1408966148215915,72.0,64.0,9,1093,4.0,1875.37,0.8234217749313815,9641.083284537968,135026.63999999998,4.680192205018686,78.04166666666667,Valves Item 01,Valves,SUP-003
MAT-017,WH-001,5.025091240875913,87.5,80.0,6,1096,4.0,3463.71,0.5474452554744526,17405.458781934307,303074.625,5.802882433045847,62.94285714285714,Valves Item 02,Valves,SUP-003
MAT-017,WH-002,6.94206204379562,148.5,140.0,6,1096,6.0,3463.71,0.5474452554744526,24045.28972171533,514360.935,7.128819741079056,51.235690235690235,Valves Item 02,Valves,SUP-003
MAT-018,WH-002,5.95662100456621,92.5,85.0,4,1095,5.0,2366.63,0.365296803652968,14097.11796803653,218913.27500000002,5.17985818321196,70.51351351351352,Valves Item 03,Valves,SUP-003
MAT-018,WH-003,6.265753424657534,94.5,90.0,7,1095,5.0,2366.63,0.639269406392694,14828.720027397261,223646.535,5.030771753388719,72.6031746031746,Valves Item 03,Valves,SUP-003
MAT-019,WH-003,6.2221715328467155,90.5,85.0,9,1096,5.0,2922.43,0.8211678832116789,18183.860752737226,264479.915,4.847147884742283,75.353591160221,Valves Item 04,Valves,SUP-003
MAT-019,WH-004,4.9,87.5,85.0,5,1095,4.0,2922.43,0.45662100456621,14319.907000000001,255712.625,5.956457925636007,61.32000000000001,Valves Item 04,Valves,SUP-003
MAT-020,WH-001,5.061131386861314,73.0,68.0,4,1096,4.0,1627.96,0.36496350364963503,8239.319452554746,118841.08,4.8067874526771215,75.98630136986301,Valves Item 05,Valves,SUP-003
MAT-020,WH-004,4.906764168190128,87.5,85.0,11,1094,4.0,1627.96,1.0054844606946984,7988.015795246802,142446.5,5.953683867362146,61.34857142857143,Valves Item 05,Valves,SUP-003
MAT-021,WH-001,10.478538812785388,375.0,364.0,8,1095,7.0,208.55,0.730593607305936,2185.299269406393,78206.25,11.937314798675267,30.597333333333335,Filters Item 01,Filters,SUP-005
MAT-021,WH-004,14.085766423357665,531.5,513.0,12,1096,10.0,208.55,1.094890510948905,2937.5865875912414,110844.32500000001,12.574839681305868,29.04609595484478,Filters Item 01,Filters,SUP-005
MAT-022,WH-001,9.688868613138686,379.0,378.0,4,1096,6.0,115.12,0.36496350364963503,1115.3825547445256,43630.48,13.036043883604858,28.018469656992085,Filters Item 02,Filters,SUP-005
MAT-022,WH-002,10.178832116788321,407.5,390.0,18,1096,7.0,115.12,1.6423357664233578,1171.7871532846716,46911.4,13.341643510218717,27.376687116564415,Filters Item 02,Filters,SUP-005
MAT-023,WH-002,9.13744292237443,344.5,338.0,10,1095,6.0,129.58,0.91324200913242,1184.0298538812788,44640.310000000005,12.575945729848582,29.04354136429608,Filters Item 03,Filters,SUP-005
MAT-023,WH-003,14.39279197080292,635.5,621.0,17,1096,10.0,129.58,1.551094890510949,1865.0179835766426,82348.09000000001,14.71465815081302,24.822187254130608,Filters Item 03,Filters,SUP-005
MAT-024,WH-003,8.575729927007298,326.0,324.0,9,1096,6.0,176.74,0.8211678832116789,1515.67450729927,57617.240000000005,12.668528566868815,28.83128834355828,Filters Item 04,Filters,SUP-005
MAT-024,WH-004,14.562956204379562,614.0,594.0,15,1096,10.0,176.74,1.3686131386861313,2573.856879562044,108518.36,14.050717373598143,25.995114006514658,Filters Item 04,Filters,SUP-005
MAT-025,WH-001,13.126940639269407,538.5,532.0,11,1095,9.0,127.95,1.004566210045662,1679.5920547945207,68901.075,13.683534506748295,26.692664809656456,Filters Item 05,Filters,SUP-005
MAT-025,WH-004,13.755018248175183,597.5,588.0,8,1096,10.0,127.95000000000002,0.7299270072992701,1759.954584854015,76450.12500000001,14.47626115220059,25.230962343096234,Filters Item 05,Filters,SUP-005
MAT-026,WH-003,5.938356164383562,163.5,154.0,8,1095,5.0,433.64,0.730593607305936,2575.1087671232876,70900.14,9.183910034602077,39.77064220183486,Electrical Item 01,Electrical,SUP-006
MAT-026,WH-004,6.060218978102189,136.0,126.0,3,1096,5.0,433.64,0.2737226277372263,2627.9533576642334,58975.04,7.478771454381211,48.838235294117645,Electrical Item 01,Electrical,SUP-006
MAT-027,WH-001,6.418795620437956,159.5,147.0,6,1096,6.0,657.37,0.5474452554744526,4219.5236770073,104850.515,8.281076759061833,44.106583072100314,Electrical Item 02,Electrical,SUP-006
MAT-027,WH-004,6.43418647166362,160.5,147.0,4,1094,6.0,657.37,0.3656307129798903,4229.641160877513,105507.885,8.328260406307715,43.85669781931465,Electrical Item 02,Electrical,SUP-006
MAT-028,WH-001,6.707762557077626,175.5,168.0,10,1095,6.0,1167.46,0.91324200913242,7831.044474885845,204889.23,8.727212389380531,41.85185185185185,Electrical Item 03,Electrical,SUP-006
MAT-028,WH-002,6.365296803652968,198.0,184.0,7,1095,6.0,1167.46,0.639269406392694,7431.229406392694,231157.08000000002,10.375824964131995,35.2020202020202,Electrical Item 03,Electrical,SUP-006
