equipment_id,date,temperature_c_mean,pressure_psi_mean,vibration_mm_s_mean,vibration_mm_s_max,flow_rate_mean,energy_kwh_sum,operating_hours_sum
EQ-0001,2022-01-01,66.09,906.5999999999999,2.479,2.636,84.825,2365.2,24.0
EQ-0001,2022-01-02,71.0,856.1,3.4715,3.917,88.94999999999999,2592.3,24.0
EQ-0001,2022-01-03,65.185,906.8499999999999,2.3255,2.339,64.09,1728.5,17.12
EQ-0001,2022-01-04,66.675,918.05,2.3895,2.445,90.41,2283.5,24.0
EQ-0001,2022-01-05,66.765,894.75,2.29,2.316,91.77,2386.9,24.0
EQ-0001,2022-01-06,65.28999999999999,900.1500000000001,2.2925,2.36,91.15,2492.3,24.0
EQ-0001,2022-01-07,64.28,915.7,2.33,2.35,89.85499999999999,2426.7,24.0
EQ-0001,2022-01-08,64.11,900.4,2.42,2.552,89.41999999999999,2413.2,24.0
EQ-0001,2022-01-09,62.400000000000006,902.9,2.338,2.36,88.2,2451.2,24.0
EQ-0001,2022-01-10,63.05,908.5,2.4255,2.505,89.03999999999999,2321.0,24.0
EQ-0001,2022-01-11,63.775,902.4000000000001,2.396,2.471,90.875,2406.0,24.0
EQ-0001,2022-01-12,65.41499999999999,896.95,2.6795,2.7,89.065,2411.9,24.0
EQ-0001,2022-01-13,65.65,921.25,2.6985,2.771,88.32,2328.2,24.0
EQ-0001,2022-01-14,65.49000000000001,885.8499999999999,2.535,2.626,90.8425,2300.9,24.0
EQ-0001,2022-01-15,62.065,894.9000000000001,2.4435000000000002,2.523,90.57,2369.8,24.0
EQ-0001,2022-01-16,62.6625,893.1500000000001,2.3025,2.434,91.265,2413.9,24.0
EQ-0001,2022-01-17,64.96000000000001,890.0,2.3225,2.323,88.515,2492.7,24.0
EQ-0001,2022-01-18,64.9,888.0,2.354,2.431,89.9,2298.9,24.0
EQ-0001,2022-01-19,63.93,892.8,2.357,2.423,87.215,2424.2,24.0
EQ-0001,2022-01-20,67.19999999999999,903.2,2.4269999999999996,2.57,73.33500000000001,1938.2,19.4
EQ-0001,2022-01-21,65.71000000000001,895.65,2.4265,2.492,89.22,2522.5,24.0
EQ-0001,2022-01-22,66.095,900.5999999999999,2.217,2.236,92.375,2373.3999999999996,24.0
EQ-0001,2022-01-23,65.47,907.7,1.8924999999999998,2.018,90.08,2440.5,24.0
EQ-0001,2022-01-24,66.47,904.55,2.013,2.093,91.49,2452.7,24.0
EQ-0001,2022-01-25,66.595,908.5,2.123,2.19,88.53999999999999,2381.2,24.0
EQ-0001,2022-01-26,66.255,908.6,2.003,2.025,91.67,2498.1,24.0
EQ-0001,2022-01-27,66.66499999999999,887.65,2.387,2.576,92.88499999999999,2385.2,24.0
EQ-0001,2022-01-28,64.63,903.45,2.4915000000000003,2.494,92.13,2476.6000000000004,24.0
EQ-0001,2022-01-29,63.22,894.85,2.5475,2.606,91.265,2434.8,24.0
EQ-0001,2022-01-30,63.675,913.15,2.503,2.563,92.1,2361.6000000000004,24.0
EQ-0001,2022-01-31,63.805,897.65,2.2190000000000003,2.248,88.86,2545.8,24.0
EQ-0001,2022-02-01,64.85,895.8,2.284,2.498,90.4,2401.0,24.0
EQ-0001,2022-02-02,64.925,899.7,2.4875,2.533,89.33500000000001,2338.1000000000004,24.0
EQ-0001,2022-02-03,64.47,913.0,2.2915,2.294,88.465,2413.4,24.0
EQ-0001,2022-02-04,65.155,892.4000000000001,2.504,2.566,92.51,2446.4,24.0
EQ-0001,2022-02-05,62.86,895.05,2.416,2.504,86.285,2526.6,24.0
EQ-0001,2022-02-06,64.69,909.85,2.2590000000000003,2.281,93.245,2368.3,24.0
EQ-0001,2022-02-07,64.47,900.55,2.2565,2.386,90.99,2361.3,24.0
EQ-0001,2022-02-08,65.29499999999999,900.9,2.3970000000000002,2.469,92.78,2449.0,24.0
EQ-0001,2022-02-09,66.38,908.55,2.3890000000000002,2.412,90.49000000000001,2351.9,24.0
EQ-0001,2022-02-10,66.55000000000001,924.1500000000001,2.2945,2.306,83.595,2470.5,24.0
