date,well_id,operating_hours,downtime_hours,oil_production_bbl,gas_production_mcf,water_production_bbl,pressure_psi,temperature_c,water_cut_pct,potential_production_bbl,dq_flag,well_name,field_id,well_type,reservoir,well_age_days,production_loss_bbl,downtime_loss_bbl,other_loss_bbl,maintenance_attributed_downtime_hours,unattributed_downtime_hours,oil_price_usd,estimated_lost_revenue_usd,month
2022-01-01,WELL-0001,24.0,0.0,42.4,70.8,54.0,2355.7,73.4,56.02,43.6,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3365,1.2000000000000028,0.0,1.2000000000000028,0.0,0.0,66.18,79.4160000000002,2022-01-01
2022-01-02,WELL-0001,24.0,0.0,42.5,65.8,57.2,2347.6,73.7,57.37,42.5,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3366,0.0,0.0,0.0,0.0,0.0,66.19,0.0,2022-01-01
2022-01-03,WELL-0001,17.13,6.87,31.6,49.0,46.0,2327.8,73.4,59.28,44.2,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3367,12.600000000000001,12.600000000000001,0.0,6.87,0.0,65.35,823.41,2022-01-01
2022-01-04,WELL-0001,24.0,0.0,41.9,66.0,61.2,2382.9,73.8,59.36,41.9,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3368,0.0,0.0,0.0,0.0,0.0,65.62,0.0,2022-01-01
2022-01-05,WELL-0001,24.0,0.0,36.5,57.4,50.1,2367.9,73.0,57.85,38.2,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3369,1.7000000000000028,0.0,1.7000000000000028,0.0,0.0,66.32,112.74400000000017,2022-01-01
2022-01-06,WELL-0001,24.0,0.0,39.5,59.2,55.0,2320.0,74.2,58.2,40.6,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3370,1.1000000000000014,0.0,1.1000000000000014,0.0,0.0,65.66,72.22600000000008,2022-01-01
2022-01-07,WELL-0001,24.0,0.0,39.9,59.4,55.0,2376.6,72.8,57.96,39.9,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3371,0.0,0.0,0.0,0.0,0.0,65.92,0.0,2022-01-01
2022-01-08,WELL-0001,24.0,0.0,39.1,61.8,52.6,2392.9,72.3,57.36,40.8,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3372,1.6999999999999957,0.0,1.6999999999999957,0.0,0.0,66.31,112.72699999999972,2022-01-01
2022-01-09,WELL-0001,24.0,0.0,37.2,56.9,51.3,2365.2,75.4,57.97,39.6,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3373,2.3999999999999986,0.0,2.3999999999999986,0.0,0.0,65.22,156.5279999999999,2022-01-01
2022-01-10,WELL-0001,24.0,0.0,40.1,62.3,56.5,2321.8,71.7,58.49,40.1,water_cut_recomputed,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3374,0.0,0.0,0.0,0.0,0.0,65.63,0.0,2022-01-01
2022-01-11,WELL-0001,19.66,4.34,31.1,50.2,43.8,2354.7,74.2,58.48,41.5,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3375,10.399999999999999,7.504583333333333,2.895416666666666,4.34,0.0,66.24,688.8959999999998,2022-01-01
2022-01-12,WELL-0001,24.0,0.0,39.1,58.2,55.1,2377.5,71.2,58.49,40.1,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3376,1.0,0.0,1.0,0.0,0.0,65.35,65.35,2022-01-01
2022-01-13,WELL-0001,24.0,0.0,40.8,67.3,57.1,2365.9,74.8,58.32,40.8,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3377,0.0,0.0,0.0,0.0,0.0,66.45,0.0,2022-01-01
2022-01-14,WELL-0001,24.0,0.0,38.7,59.9,55.0,2325.8,72.7,58.7,39.7,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3378,1.0,0.0,1.0,0.0,0.0,66.27,66.27,2022-01-01
2022-01-15,WELL-0001,24.0,0.0,41.1,65.0,56.9,2377.9,73.5,58.06,41.7,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3379,0.6000000000000014,0.0,0.6000000000000014,0.0,0.0,66.61,39.96600000000009,2022-01-01
2022-01-16,WELL-0001,24.0,0.0,40.6,61.2,55.0,2345.4,73.2,57.53,41.3,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3380,0.6999999999999957,0.0,0.6999999999999957,0.0,0.0,66.8,46.759999999999714,2022-01-01
2022-01-17,WELL-0001,24.0,0.0,41.1,65.9,55.8,2345.9,72.8,57.59,42.8,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3381,1.6999999999999957,0.0,1.6999999999999957,0.0,0.0,65.34,111.07799999999973,2022-01-01
2022-01-18,WELL-0001,24.0,0.0,40.3,63.6,55.2,2357.9,73.0,57.8,41.1,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3382,0.8000000000000043,0.0,0.8000000000000043,0.0,0.0,67.17,53.73600000000029,2022-01-01
2022-01-19,WELL-0001,24.0,0.0,41.2,66.9,56.5,2387.3,72.9,57.83,41.2,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3383,0.0,0.0,0.0,0.0,0.0,65.59,0.0,2022-01-01
2022-01-20,WELL-0001,19.39,4.61,28.8,41.1,39.8,2435.6,71.4,58.02,39.2,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3384,10.400000000000002,7.529666666666667,2.8703333333333347,4.61,0.0,65.77,684.0080000000002,2022-01-01
2022-01-21,WELL-0001,24.0,0.0,39.1,58.3,55.9,2267.8,73.4,58.84,41.3,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3385,2.1999999999999957,0.0,2.1999999999999957,0.0,0.0,65.46,144.01199999999972,2022-01-01
2022-01-22,WELL-0001,24.0,0.0,38.2,60.4,54.1,2293.8,71.8,58.61,39.9,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3386,1.6999999999999957,0.0,1.6999999999999957,0.0,0.0,65.52,111.38399999999972,2022-01-01
2022-01-23,WELL-0001,24.0,0.0,41.1,66.0,56.4,2406.8,71.7,57.85,41.2,,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,3387,0.10000000000000142,0.0,0.10000000000000142,0.0,0.0,66.46,6.646000000000094,2022-01-01
