material_id,material_name,material_category,unit,unit_cost,reorder_level,lead_time_days,primary_supplier_id
MAT-001,Seals Item 01,Seals,EA,104.84,8,17,SUP-001
MAT-002,Seals Item 02,Seals,EA,241.37,8,12,SUP-002
MAT-003,Seals Item 03,Seals,EA,250.33,8,12,SUP-002
MAT-004,Seals Item 04,Seals,EA,108.45,8,12,SUP-002
MAT-005,Seals Item 05,Seals,EA,187.34,9,16,SUP-001
MAT-006,Bearings Item 01,Bearings,EA,630.77,6,18,SUP-001
MAT-007,Bearings Item 02,Bearings,EA,1810.3,6,15,SUP-001
MAT-008,Bearings Item 03,Bearings,EA,636.55,5,18,SUP-001
MAT-009,Bearings Item 04,Bearings,EA,677.13,5,13,SUP-002
MAT-010,Bearings Item 05,Bearings,EA,856.73,4,13,SUP-002
MAT-011,Lubricants Item 01,Lubricants,L,56.76,58,8,SUP-004
MAT-012,Lubricants Item 02,Lubricants,L,50.61,30,5,SUP-004
MAT-013,Lubricants Item 03,Lubricants,L,111.4,54,7,SUP-004
MAT-014,Lubricants Item 04,Lubricants,L,50.38,39,5,SUP-004
MAT-015,Lubricants Item 05,Lubricants,L,46.55,37,5,SUP-004
MAT-016,Valves Item 01,Valves,EA,1875.37,4,26,SUP-003
MAT-017,Valves Item 02,Valves,EA,3463.71,5,24,SUP-003
MAT-018,Valves Item 03,Valves,EA,2366.63,5,26,SUP-003
MAT-019,Valves Item 04,Valves,EA,2922.43,4,26,SUP-003
MAT-020,Valves Item 05,Valves,EA,1627.96,4,23,SUP-003
MAT-021,Filters Item 01,Filters,EA,208.55,8,13,SUP-005
MAT-022,Filters Item 02,Filters,EA,115.12,6,11,SUP-005
MAT-023,Filters Item 03,Filters,EA,129.58,8,11,SUP-005
MAT-024,Filters Item 04,Filters,EA,176.74,8,12,SUP-005
MAT-025,Filters Item 05,Filters,EA,127.95,10,12,SUP-005
MAT-026,Electrical Item 01,Electrical,EA,433.64,5,20,SUP-006
MAT-027,Electrical Item 02,Electrical,EA,657.37,6,23,SUP-006
MAT-028,Electrical Item 03,Electrical,EA,1167.46,6,20,SUP-006
MAT-029,Electrical Item 04,Electrical,EA,511.8,6,20,SUP-006
MAT-030,Electrical Item 05,Electrical,EA,609.7,7,21,SUP-006
MAT-031,Piping Item 01,Piping,EA,1350.5,6,25,SUP-007
MAT-032,Piping Item 02,Piping,EA,1238.66,6,28,SUP-007
MAT-033,Piping Item 03,Piping,EA,1179.71,6,25,SUP-007
MAT-034,Piping Item 04,Piping,EA,783.28,6,28,SUP-007
MAT-035,Piping Item 05,Piping,EA,1653.49,6,28,SUP-007
MAT-036,Chemicals Item 01,Chemicals,KG,75.97,41,7,SUP-008
MAT-037,Chemicals Item 02,Chemicals,KG,108.65,33,6,SUP-004
MAT-038,Chemicals Item 03,Chemicals,KG,70.54,36,8,SUP-008
MAT-039,Chemicals Item 04,Chemicals,KG,95.74,58,9,SUP-008
MAT-040,Chemicals Item 05,Chemicals,KG,97.48,34,7,SUP-008
