date,material_id,supplier_id,warehouse_id,opening_stock,receipts,consumption,closing_stock,reorder_level,unit_cost,stockout_flag
2022-01-01,MAT-002,SUP-002,WH-001,24.0,0.0,0.0,24.0,8.0,241.37,0
2022-01-01,MAT-003,SUP-002,WH-001,28.0,0.0,0.0,28.0,9.0,250.33,0
2022-01-01,MAT-006,SUP-001,WH-001,19.0,0.0,0.0,19.0,7.0,630.77,0
2022-01-01,MAT-009,SUP-002,WH-001,14.0,0.0,0.0,14.0,5.0,677.13,0
2022-01-01,MAT-010,SUP-002,WH-001,8.5,0.0,0.0,8.5,3.0,856.73,0
2022-01-01,MAT-011,SUP-004,WH-001,230.0,0.0,1.0,229.0,62.0,56.76,0
2022-01-01,MAT-014,SUP-004,WH-001,213.0,0.0,13.0,200.0,45.0,50.38,0
2022-01-01,MAT-015,SUP-004,WH-001,169.5,0.0,4.0,165.5,36.0,46.55,0
2022-01-01,MAT-016,SUP-003,WH-001,13.0,0.0,0.0,13.0,5.0,1875.37,0
2022-01-01,MAT-017,SUP-003,WH-001,10.5,0.0,0.0,10.5,4.0,3463.71,0
2022-01-01,MAT-020,SUP-003,WH-001,10.0,0.0,0.0,10.0,4.0,1627.96,0
2022-01-01,MAT-021,SUP-005,WH-001,21.0,0.0,0.0,21.0,7.0,208.55,0
2022-01-01,MAT-022,SUP-005,WH-001,19.0,0.0,0.0,19.0,6.0,115.12,0
2022-01-01,MAT-025,SUP-005,WH-001,27.5,0.0,0.0,27.5,9.0,127.95,0
2022-01-01,MAT-027,SUP-006,WH-001,15.5,0.0,0.0,15.5,6.0,657.37,0
2022-01-01,MAT-028,SUP-006,WH-001,15.5,0.0,0.0,15.5,6.0,1167.46,0
2022-01-01,MAT-033,SUP-007,WH-001,12.5,0.0,0.0,12.5,5.0,1179.71,0
2022-01-01,MAT-034,SUP-007,WH-001,17.5,0.0,0.0,17.5,7.0,783.28,0
2022-01-01,MAT-038,SUP-008,WH-001,156.0,0.0,1.0,155.0,42.0,70.54,0
2022-01-01,MAT-039,SUP-008,WH-001,222.5,0.0,3.0,219.5,63.0,95.74,0
2022-01-01,MAT-003,SUP-002,WH-002,20.5,0.0,1.0,19.5,7.0,250.33,0
2022-01-01,MAT-004,SUP-002,WH-002,27.5,0.0,1.0,26.5,9.0,108.45,0
2022-01-01,MAT-006,SUP-001,WH-002,13.5,0.0,0.0,13.5,5.0,630.77,0
2022-01-01,MAT-007,SUP-001,WH-002,13.5,0.0,0.0,13.5,5.0,1810.3,0
2022-01-01,MAT-010,SUP-002,WH-002,14.5,0.0,0.0,14.5,5.0,856.73,0
2022-01-01,MAT-011,SUP-004,WH-002,196.0,0.0,2.0,194.0,53.0,56.76,0
2022-01-01,MAT-012,SUP-004,WH-002,165.0,0.0,5.0,160.0,35.0,50.61,0
2022-01-01,MAT-015,SUP-004,WH-002,180.5,0.0,5.0,175.5,38.0,46.55,0
2022-01-01,MAT-017,SUP-003,WH-002,15.5,0.0,0.0,15.5,6.0,3463.71,0
2022-01-01,MAT-018,SUP-003,WH-002,12.5,0.0,0.0,12.5,5.0,2366.63,0
2022-01-01,MAT-022,SUP-005,WH-002,21.5,0.0,1.0,20.5,7.0,115.12,0
2022-01-01,MAT-023,SUP-005,WH-002,18.5,0.0,0.0,18.5,6.0,129.58,0
2022-01-01,MAT-028,SUP-006,WH-002,16.0,0.0,0.0,16.0,6.0,1167.46,0
2022-01-01,MAT-029,SUP-006,WH-002,16.0,0.0,0.0,16.0,6.0,511.8,0
2022-01-01,MAT-031,SUP-007,WH-002,15.0,0.0,0.0,15.0,6.0,1350.5,0
2022-01-01,MAT-034,SUP-007,WH-002,15.0,0.0,1.0,14.0,6.0,783.28,0
2022-01-01,MAT-035,SUP-007,WH-002,15.0,0.0,0.0,15.0,6.0,1653.49,0
2022-01-01,MAT-036,SUP-008,WH-002,129.0,0.0,1.0,128.0,33.0,75.97,0
2022-01-01,MAT-039,SUP-008,WH-002,184.0,0.0,6.0,178.0,52.0,95.74,0
