maintenance_id,equipment_id,date,maintenance_type,failure_type,downtime_hours,labor_cost,material_cost,contractor_cost,total_cost,priority,work_order_status
MNT-000001,EQ-0001,2022-01-03,Corrective,Motor Overheating,6.87,1598.93,526.76,0.0,2125.69,High,Completed
MNT-000002,EQ-0024,2022-01-05,Corrective,Pressure Fault,15.64,4904.27,2087.29,0.0,6991.56,High,Completed
MNT-000003,EQ-0037,2022-01-05,Corrective,Seal Leak,12.72,3083.3,4062.78,0.0,7146.08,High,Completed
MNT-000004,EQ-0007,2022-01-11,Preventive,,7.24,2060.81,9376.85,0.0,11437.66,Medium,Completed
MNT-000005,EQ-0014,2022-01-11,Corrective,Motor Overheating,10.13,2851.47,592.86,0.0,3444.33,High,Completed
MNT-000006,EQ-0018,2022-01-12,Corrective,Valve Failure,41.49,15375.36,3426.92,0.0,18802.28,High,Completed
MNT-000007,EQ-0003,2022-01-13,Preventive,,6.64,1699.97,2570.19,0.0,4270.16,Medium,Completed
MNT-000008,EQ-0003,2022-01-13,Inspection,,1.84,327.72,50.38,0.0,378.1,Low,Completed
MNT-000009,EQ-0013,2022-01-13,Preventive,,4.63,1221.47,433.8,0.0,1655.27,Medium,Completed
MNT-000010,EQ-0013,2022-01-13,Inspection,,2.04,553.3,216.9,0.0,770.2,Low,Completed
MNT-000011,EQ-0039,2022-01-13,Preventive,,5.35,1139.99,1930.96,0.0,3070.95,Medium,Completed
MNT-000012,EQ-0032,2022-01-14,Preventive,,9.69,1801.18,9466.52,0.0,11267.7,Medium,Completed
MNT-000013,EQ-0010,2022-01-15,Preventive,,4.34,981.18,1448.22,0.0,2429.4,Medium,Completed
MNT-000014,EQ-0019,2022-01-19,Corrective,Level Control Fault,14.81,3369.45,20468.8,0.0,23838.25,High,Completed
MNT-000015,EQ-0027,2022-01-19,Preventive,,4.79,1196.81,650.7,0.0,1847.51,Medium,Completed
MNT-000016,EQ-0001,2022-01-20,Preventive,,4.61,1220.84,2708.52,0.0,3929.36,Medium,Completed
MNT-000017,EQ-0015,2022-01-20,Corrective,Impeller Wear,6.69,1661.72,433.8,0.0,2095.52,High,Completed
MNT-000018,EQ-0030,2022-01-20,Preventive,,11.48,4805.01,777.48,0.0,5582.49,Medium,Completed
MNT-000019,EQ-0042,2022-01-20,Preventive,,9.93,4354.46,557.0,0.0,4911.46,Medium,Completed
MNT-000020,EQ-0028,2022-01-25,Corrective,Impeller Wear,6.96,1566.94,9702.2,7381.7,18650.84,High,Completed
MNT-000021,EQ-0042,2022-01-26,Corrective,Overheating,26.9,13633.97,2546.2,0.0,16180.17,High,Completed
MNT-000022,EQ-0045,2022-01-26,Corrective,Electrical Fault,20.74,4270.05,1983.14,9533.53,15786.72,High,Completed
MNT-000023,EQ-0012,2022-01-27,Preventive,,6.45,2390.75,1001.32,2873.26,6265.33,Medium,Completed
MNT-000024,EQ-0012,2022-01-27,Inspection,,1.53,666.02,191.48,0.0,857.5,Low,Completed
MNT-000025,EQ-0016,2022-01-27,Preventive,,6.05,1362.03,867.6,0.0,2229.63,Medium,Completed
MNT-000026,EQ-0028,2022-01-27,Preventive,,6.55,1100.42,3182.75,14621.9,18905.07,Medium,Completed
MNT-000027,EQ-0028,2022-01-27,Inspection,,2.54,737.22,0.0,0.0,737.22,Low,Completed
MNT-000028,EQ-0018,2022-01-28,Preventive,,10.02,3820.58,3153.85,0.0,6974.43,Medium,Completed
MNT-000029,EQ-0008,2022-01-29,Corrective,Level Control Fault,5.56,1498.52,3463.71,0.0,4962.23,High,Completed
MNT-000030,EQ-0009,2022-01-30,Preventive,,6.12,1973.53,251.9,0.0,2225.43,Medium,Completed
MNT-000031,EQ-0009,2022-01-30,Inspection,,1.13,266.65,0.0,0.0,266.65,Low,Completed
MNT-000032,EQ-0005,2022-02-02,Corrective,Overheating,22.75,10651.54,13439.63,12501.79,36592.96,High,Completed
MNT-000033,EQ-0044,2022-02-02,Preventive,,3.36,857.34,7501.48,0.0,8358.82,Medium,Completed
MNT-000034,EQ-0036,2022-02-04,Preventive,,3.58,1348.67,487.4,0.0,1836.07,Medium,Completed
MNT-000035,EQ-0034,2022-02-06,Preventive,,3.69,623.44,562.02,0.0,1185.46,Medium,Completed
MNT-000036,EQ-0018,2022-02-07,Corrective,Seal Leak,65.23,26623.81,345.36,9845.75,36814.92,Critical,Completed
MNT-000037,EQ-0015,2022-02-08,Preventive,,5.51,1211.36,1001.32,0.0,2212.68,Medium,Completed
MNT-000038,EQ-0048,2022-02-08,Corrective,Corrosion Leak,49.38,18575.03,1262.65,8927.43,28765.11,Critical,Completed
MNT-000039,EQ-0016,2022-02-09,Corrective,Bearing Failure,25.48,7377.09,500.66,0.0,7877.75,High,Completed
MNT-000040,EQ-0025,2022-02-09,Preventive,,7.66,1671.62,151.83,0.0,1823.45,Medium,Completed
MNT-000041,EQ-0025,2022-02-09,Inspection,,1.31,291.38,216.9,0.0,508.28,Low,Completed
MNT-000042,EQ-0029,2022-02-10,Preventive,,13.29,5451.94,353.48,0.0,5805.42,Medium,Completed
