date,well_id,operating_hours,downtime_hours,oil_production_bbl,gas_production_mcf,water_production_bbl,pressure_psi,temperature_c,water_cut_pct,potential_production_bbl,dq_flag
2022-01-01,WELL-0001,24.0,0.0,42.4,70.8,54.0,2355.7,73.4,56.02,43.6,
2022-01-02,WELL-0001,24.0,0.0,42.5,65.8,57.2,2347.6,73.7,57.37,42.5,
2022-01-03,WELL-0001,17.13,6.87,31.6,49.0,46.0,2327.8,73.4,59.28,44.2,
2022-01-04,WELL-0001,24.0,0.0,41.9,66.0,61.2,2382.9,73.8,59.36,41.9,
2022-01-05,WELL-0001,24.0,0.0,36.5,57.4,50.1,2367.9,73.0,57.85,38.2,
2022-01-06,WELL-0001,24.0,0.0,39.5,59.2,55.0,2320.0,74.2,58.2,40.6,
2022-01-07,WELL-0001,24.0,0.0,39.9,59.4,55.0,2376.6,72.8,57.96,39.9,
2022-01-08,WELL-0001,24.0,0.0,39.1,61.8,52.6,2392.9,72.3,57.36,40.8,
2022-01-09,WELL-0001,24.0,0.0,37.2,56.9,51.3,2365.2,75.4,57.97,39.6,
2022-01-10,WELL-0001,24.0,0.0,40.1,62.3,56.5,2321.8,71.7,58.49,40.1,water_cut_recomputed
2022-01-11,WELL-0001,19.66,4.34,31.1,50.2,43.8,2354.7,74.2,58.48,41.5,
2022-01-12,WELL-0001,24.0,0.0,39.1,58.2,55.1,2377.5,71.2,58.49,40.1,
2022-01-13,WELL-0001,24.0,0.0,40.8,67.3,57.1,2365.9,74.8,58.32,40.8,
2022-01-14,WELL-0001,24.0,0.0,38.7,59.9,55.0,2325.8,72.7,58.7,39.7,
2022-01-15,WELL-0001,24.0,0.0,41.1,65.0,56.9,2377.9,73.5,58.06,41.7,
2022-01-16,WELL-0001,24.0,0.0,40.6,61.2,55.0,2345.4,73.2,57.53,41.3,
2022-01-17,WELL-0001,24.0,0.0,41.1,65.9,55.8,2345.9,72.8,57.59,42.8,
2022-01-18,WELL-0001,24.0,0.0,40.3,63.6,55.2,2357.9,73.0,57.8,41.1,
2022-01-19,WELL-0001,24.0,0.0,41.2,66.9,56.5,2387.3,72.9,57.83,41.2,
2022-01-20,WELL-0001,19.39,4.61,28.8,41.1,39.8,2435.6,71.4,58.02,39.2,
2022-01-21,WELL-0001,24.0,0.0,39.1,58.3,55.9,2267.8,73.4,58.84,41.3,
2022-01-22,WELL-0001,24.0,0.0,38.2,60.4,54.1,2293.8,71.8,58.61,39.9,
2022-01-23,WELL-0001,24.0,0.0,41.1,66.0,56.4,2406.8,71.7,57.85,41.2,
2022-01-24,WELL-0001,24.0,0.0,41.5,69.8,54.6,2379.6,72.0,56.82,42.1,
2022-01-25,WELL-0001,24.0,0.0,38.7,58.7,54.7,2380.2,71.9,58.57,41.3,temperature_c_imputed
2022-01-26,WELL-0001,22.9,1.1,38.1,55.1,56.1,2338.6,71.8,59.55,41.2,temperature_c_imputed
2022-01-27,WELL-0001,20.01,3.99,32.0,52.5,43.9,2294.3,71.7,57.84,40.8,
2022-01-28,WELL-0001,24.0,0.0,40.6,63.1,62.9,2412.5,73.2,60.77,40.8,
2022-01-29,WELL-0001,20.66,3.34,35.7,55.0,50.0,2377.9,72.4,58.34,41.4,
2022-01-30,WELL-0001,18.2,5.8,30.5,49.1,43.4,2301.2,74.2,58.73,42.1,
2022-01-31,WELL-0001,24.0,0.0,37.1,58.3,52.3,2378.6,73.3,58.5,39.5,
