po_id,order_date,material_id,supplier_id,warehouse_id,quantity,quoted_lead_time_days,promised_date,received_date,unit_cost,status
PO-000001,2022-01-17,MAT-004,SUP-002,WH-002,19,12,2022-01-29,2022-01-28,108.45,Received
PO-000002,2022-01-21,MAT-027,SUP-006,WH-004,7,23,2022-02-13,2022-02-24,657.37,Received
PO-000003,2022-01-21,MAT-014,SUP-004,WH-001,246,5,2022-01-26,2022-01-24,50.38,Received
PO-000004,2022-01-22,MAT-009,SUP-002,WH-001,8,13,2022-02-04,2022-02-02,677.13,Received
PO-000005,2022-01-22,MAT-012,SUP-004,WH-003,138,5,2022-01-27,2022-01-27,50.61,Received
PO-000006,2022-01-23,MAT-012,SUP-004,WH-002,190,5,2022-01-28,2022-01-28,50.61,Received
PO-000007,2022-01-23,MAT-002,SUP-002,WH-001,16,12,2022-02-04,2022-02-04,241.37,Received
PO-000008,2022-01-24,MAT-036,SUP-008,WH-002,126,7,2022-01-31,2022-02-14,75.97,Received
PO-000009,2022-01-24,MAT-037,SUP-004,WH-004,114,6,2022-01-30,2022-01-28,108.65,Received
PO-000010,2022-01-24,MAT-013,SUP-004,WH-003,275,7,2022-01-31,2022-01-30,111.4,Received
PO-000011,2022-01-25,MAT-007,SUP-001,WH-003,10,15,2022-02-09,2022-02-07,1810.3,Received
PO-000012,2022-01-25,MAT-011,SUP-004,WH-002,180,8,2022-02-02,2022-02-01,56.76,Received
PO-000013,2022-01-25,MAT-015,SUP-004,WH-001,195,5,2022-01-30,2022-01-28,46.55,Received
PO-000014,2022-01-25,MAT-015,SUP-004,WH-002,209,5,2022-01-30,2022-02-13,46.55,Received
PO-000015,2022-01-25,MAT-004,SUP-002,WH-003,14,12,2022-02-06,2022-02-05,108.45,Received
PO-000016,2022-01-26,MAT-008,SUP-001,WH-004,5,18,2022-02-13,2022-02-25,636.55,Received
PO-000017,2022-01-27,MAT-036,SUP-008,WH-003,192,7,2022-02-03,2022-02-01,75.97,Received
PO-000018,2022-01-27,MAT-037,SUP-004,WH-003,180,6,2022-02-02,2022-02-02,108.65,Received
PO-000019,2022-01-28,MAT-038,SUP-008,WH-001,144,8,2022-02-05,2022-02-19,70.54,Received
PO-000020,2022-01-28,MAT-039,SUP-008,WH-001,193,9,2022-02-06,2022-02-05,95.74,Received
PO-000021,2022-01-29,MAT-038,SUP-008,WH-004,101,8,2022-02-06,2022-02-05,70.54,Received
PO-000022,2022-01-29,MAT-040,SUP-008,WH-002,104,7,2022-02-05,2022-02-05,97.48,Received
PO-000023,2022-01-29,MAT-011,SUP-004,WH-001,212,8,2022-02-06,2022-02-12,56.76,Received
PO-000024,2022-01-29,MAT-013,SUP-004,WH-004,151,7,2022-02-05,2022-02-03,111.4,Received
PO-000025,2022-01-29,MAT-002,SUP-002,WH-004,16,12,2022-02-10,2022-02-08,241.37,Received
PO-000026,2022-01-30,MAT-039,SUP-008,WH-002,160,9,2022-02-08,2022-02-07,95.74,Received
PO-000027,2022-01-31,MAT-009,SUP-002,WH-004,8,13,2022-02-13,2022-02-11,677.13,Received
PO-000028,2022-01-31,MAT-010,SUP-002,WH-002,9,13,2022-02-13,2022-02-12,856.73,Received
PO-000029,2022-01-31,MAT-014,SUP-004,WH-004,180,5,2022-02-05,2022-02-05,50.38,Received
PO-000030,2022-02-02,MAT-009,SUP-002,WH-001,8,13,2022-02-15,2022-02-15,677.13,Received
PO-000031,2022-02-02,MAT-040,SUP-008,WH-003,154,7,2022-02-09,2022-02-07,97.48,Received
PO-000032,2022-02-02,MAT-028,SUP-006,WH-002,8,20,2022-02-22,2022-02-28,1167.46,Received
PO-000033,2022-02-02,MAT-003,SUP-002,WH-001,20,12,2022-02-14,2022-02-14,250.33,Received
PO-000034,2022-02-02,MAT-016,SUP-003,WH-004,4,26,2022-02-28,2022-02-26,1875.37,Received
PO-000035,2022-02-02,MAT-016,SUP-003,WH-001,6,26,2022-02-28,2022-02-28,1875.37,Received
PO-000036,2022-02-05,MAT-025,SUP-005,WH-001,19,12,2022-02-17,2022-02-16,127.95,Received
