date,field_id,oil_volume_bbl,gas_volume_mcf,oil_price_usd,gas_price_usd,revenue_usd
2022-01-01,FIELD-001,4399.9,3819.4,66.18,3.025,302739.07
2022-01-01,FIELD-002,1683.5,1522.8,67.11,3.011,117564.84
2022-01-01,FIELD-003,474.4,681.3,63.72,3.011,32280.16
2022-01-01,FIELD-004,1518.8,1983.2,66.44,2.995,106848.76
2022-01-02,FIELD-001,4510.3,3809.9,66.19,3.01,310004.56
2022-01-02,FIELD-002,1659.2,1549.7,66.82,2.994,115507.55
2022-01-02,FIELD-003,477.5,672.2,63.61,2.975,32373.57
2022-01-02,FIELD-004,1457.6,1874.0,66.62,3.046,102813.52
2022-01-03,FIELD-001,4177.4,3598.4,65.35,3.04,283932.23
2022-01-03,FIELD-002,1659.5,1417.5,67.6,2.999,116433.28
2022-01-03,FIELD-003,459.4,641.2,63.48,2.983,31075.41
2022-01-03,FIELD-004,1533.9,2009.4,66.26,2.986,107636.28
2022-01-04,FIELD-001,4582.8,3727.4,65.62,2.985,311849.62
2022-01-04,FIELD-002,1734.1,1503.0,67.28,3.019,121207.8
2022-01-04,FIELD-003,472.9,663.7,62.78,3.006,31683.74
2022-01-04,FIELD-004,1503.6,1917.4,65.79,2.99,104654.87
2022-01-05,FIELD-001,4350.2,3608.3,66.32,2.965,299203.87
2022-01-05,FIELD-002,1107.6,1017.5,67.11,3.009,77392.69
2022-01-05,FIELD-003,467.4,668.2,64.46,3.035,32156.59
2022-01-05,FIELD-004,1229.4,1558.6,66.73,2.979,86680.93
2022-01-06,FIELD-001,4558.5,3838.2,65.66,2.982,310756.62
2022-01-06,FIELD-002,1641.8,1460.8,67.93,2.951,115838.29
2022-01-06,FIELD-003,469.6,682.2,64.05,2.987,32115.61
2022-01-06,FIELD-004,1508.4,1910.7,66.55,3.035,106182.99
2022-01-07,FIELD-001,4501.0,3822.0,65.92,2.961,308022.86
2022-01-07,FIELD-002,1685.3,1468.8,67.23,2.987,117690.02
2022-01-07,FIELD-003,463.4,676.7,62.97,3.019,31223.26
2022-01-07,FIELD-004,1472.7,1849.9,66.68,2.992,103734.54
2022-01-08,FIELD-001,4421.3,3664.3,66.31,3.05,304352.52
2022-01-08,FIELD-002,1646.9,1469.1,66.55,3.024,114043.75
2022-01-08,FIELD-003,461.3,656.9,62.97,3.019,31031.24
2022-01-08,FIELD-004,1512.7,1928.4,66.58,2.978,106458.34
2022-01-09,FIELD-001,4484.1,3814.3,65.22,2.974,303796.73
2022-01-09,FIELD-002,1710.6,1533.5,66.82,3.037,118959.53
2022-01-09,FIELD-003,467.9,676.8,63.27,2.99,31627.66
2022-01-09,FIELD-004,1477.0,1959.7,67.41,3.029,105500.5
2022-01-10,FIELD-001,4324.2,3745.4,65.63,2.991,294999.74
2022-01-10,FIELD-002,1636.0,1486.0,66.84,2.989,113791.89
2022-01-10,FIELD-003,456.6,665.1,63.35,3.015,30930.89
2022-01-10,FIELD-004,1467.2,1879.3,66.94,2.914,103690.65
2022-01-11,FIELD-001,3368.2,2858.7,66.24,3.035,231785.72
2022-01-11,FIELD-002,1399.1,1142.7,68.01,3.043,98630.03
2022-01-11,FIELD-003,447.8,641.7,63.89,2.95,30502.96
2022-01-11,FIELD-004,1511.1,2022.5,65.4,2.984,104861.08
2022-01-12,FIELD-001,4422.9,3705.3,65.35,3.018,300219.11
2022-01-12,FIELD-002,672.5,611.3,66.8,2.955,46729.39
2022-01-12,FIELD-003,463.3,670.8,63.44,2.985,31394.09
2022-01-12,FIELD-004,1461.5,1877.7,66.29,3.014,102542.22
2022-01-13,FIELD-001,4207.9,3510.5,66.45,2.972,290048.16
2022-01-13,FIELD-002,747.1,711.0,67.64,2.984,52655.47
2022-01-13,FIELD-003,466.2,644.4,63.22,3.031,31426.34
2022-01-13,FIELD-004,1435.7,1886.3,67.33,2.993,102311.38
2022-01-14,FIELD-001,4275.6,3753.7,66.27,2.989,294563.82
2022-01-14,FIELD-002,1641.7,1515.0,67.03,2.978,114554.82
2022-01-14,FIELD-003,356.4,512.9,63.68,2.993,24230.66
2022-01-14,FIELD-004,1497.9,2001.6,65.85,2.983,104607.49
2022-01-15,FIELD-001,4322.6,3678.3,66.61,2.996,298948.57
2022-01-15,FIELD-002,1623.9,1449.3,67.46,3.002,113899.09
2022-01-15,FIELD-003,449.4,645.3,64.27,2.96,30793.03
2022-01-15,FIELD-004,1517.1,1881.9,66.34,2.965,106224.25
