date,material_id,supplier_id,warehouse_id,opening_stock,receipts,consumption,closing_stock,reorder_level,unit_cost,stockout_flag,quarantine_reason
,MAT-027,SUP-006,WH-004,10.5,0.0,0.0,10.5,6.0,657.37,0,invalid_date
,MAT-030,SUP-006,WH-003,8.0,0.0,0.0,8.0,7.0,609.7,0,invalid_date
,MAT-016,SUP-003,WH-004,4.0,0.0,0.0,4.0,4.0,1875.37,0,invalid_date
,MAT-004,SUP-002,WH-002,2.0,19.0,0.0,21.0,9.0,108.45,0,invalid_date
,MAT-027,SUP-006,WH-004,0.0,0.0,0.0,0.0,6.0,657.37,0,invalid_date
,MAT-018,SUP-003,WH-003,9.0,0.0,0.0,9.0,5.0,2366.63,0,invalid_date
,MAT-039,SUP-008,WH-002,156.0,0.0,1.0,155.0,52.0,95.74,0,invalid_date
,MAT-013,SUP-004,WH-004,61.5,0.0,10.0,51.5,39.0,111.4,0,invalid_date
,MAT-029,SUP-006,WH-003,7.5,0.0,1.0,6.5,5.0,511.8,0,invalid_date
,MAT-033,SUP-007,WH-001,5.0,0.0,0.0,5.0,5.0,1179.71,0,invalid_date
,MAT-040,SUP-008,WH-003,144.0,0.0,3.0,141.0,40.0,97.48,0,invalid_date
,MAT-037,SUP-004,WH-004,38.0,0.0,5.0,33.0,26.0,108.65,0,invalid_date
,MAT-010,SUP-002,WH-002,4.5,0.0,1.0,3.5,5.0,856.73,0,invalid_date
,MAT-039,SUP-008,WH-002,139.0,0.0,5.0,134.0,52.0,95.74,0,invalid_date
,MAT-014,SUP-004,WH-004,20.0,180.0,6.0,194.0,33.0,50.38,0,invalid_date
,MAT-037,SUP-004,WH-003,169.0,0.0,7.0,162.0,40.0,108.65,0,invalid_date
,MAT-020,SUP-003,WH-004,8.0,0.0,0.0,8.0,4.0,1627.96,0,invalid_date
,MAT-028,SUP-006,WH-002,8.0,0.0,0.0,8.0,6.0,1167.46,0,invalid_date
,MAT-019,SUP-003,WH-004,6.0,0.0,0.0,6.0,4.0,2922.43,0,invalid_date
,MAT-020,SUP-003,WH-004,5.0,0.0,0.0,5.0,4.0,1627.96,0,invalid_date
,MAT-037,SUP-004,WH-004,31.0,0.0,4.0,27.0,26.0,108.65,0,invalid_date
,MAT-040,SUP-008,WH-002,115.0,0.0,2.0,113.0,27.0,97.48,0,invalid_date
,MAT-007,SUP-001,WH-002,5.0,0.0,0.0,5.0,5.0,1810.3,0,invalid_date
,MAT-034,SUP-007,WH-002,7.0,0.0,0.0,7.0,6.0,783.28,0,invalid_date
,MAT-028,SUP-006,WH-001,5.0,0.0,0.0,5.0,6.0,1167.46,0,invalid_date
,MAT-015,SUP-004,WH-002,60.0,0.0,5.0,55.0,38.0,46.55,0,invalid_date
,MAT-002,SUP-002,WH-004,21.0,0.0,0.0,21.0,8.0,241.37,0,invalid_date
,MAT-025,SUP-005,WH-001,18.0,0.0,0.0,18.0,9.0,127.95,0,invalid_date
,MAT-007,SUP-001,WH-003,2.0,0.0,0.0,2.0,6.0,1810.3,0,invalid_date
,MAT-018,SUP-003,WH-002,1.0,0.0,0.0,1.0,5.0,2366.63,0,invalid_date
,MAT-040,SUP-008,WH-003,0.0,0.0,0.0,0.0,40.0,97.48,1,invalid_date
,MAT-021,SUP-005,WH-001,13.0,0.0,0.0,13.0,7.0,208.55,0,invalid_date
,MAT-026,SUP-006,WH-003,7.0,0.0,0.0,7.0,5.0,433.64,0,invalid_date
,MAT-016,SUP-003,WH-004,6.0,0.0,0.0,6.0,4.0,1875.37,0,invalid_date
,MAT-010,SUP-002,WH-002,2.5,0.0,0.0,2.5,5.0,856.73,0,invalid_date
,MAT-009,SUP-002,WH-004,6.0,0.0,1.0,5.0,5.0,677.13,0,invalid_date
,MAT-016,SUP-003,WH-004,7.0,0.0,0.0,7.0,4.0,1875.37,0,invalid_date
,MAT-038,SUP-008,WH-001,46.0,0.0,2.0,44.0,42.0,70.54,0,invalid_date
,MAT-038,SUP-008,WH-004,97.0,0.0,3.0,94.0,30.0,70.54,0,invalid_date
,MAT-001,SUP-001,WH-004,9.0,0.0,0.0,9.0,8.0,104.84,0,invalid_date
,MAT-038,SUP-008,WH-001,62.0,0.0,3.0,59.0,42.0,70.54,0,invalid_date
,MAT-023,SUP-005,WH-002,7.0,0.0,2.0,5.0,6.0,129.58,0,invalid_date
,MAT-009,SUP-002,WH-001,6.0,0.0,0.0,6.0,5.0,677.13,0,invalid_date
