date,well_id,operating_hours,downtime_hours,oil_production_bbl,gas_production_mcf,water_production_bbl,pressure_psi,temperature_c,water_cut_pct,potential_production_bbl,oil_uom,quarantine_reason
,WELL-0001,12.17,11.83,19.1,31.0,28.1,2234.8,72.2,59.53,38.2,bbl,invalid_date
,WELL-0001,24.0,0.0,35.3,53.7,49.4,2314.1,75.0,58.32,36.6,bbl,invalid_date
,WELL-0008,24.0,0.0,157.1,265.5,117.4,2704.3,82.6,42.77,157.1,bbl,invalid_date
,WELL-0010,24.0,0.0,78.5,65.5,172.3,3048.7,82.8,68.7,82.2,bbl,invalid_date
,WELL-0010,24.0,0.0,74.0,62.0,159.9,2862.9,83.4,68.36,74.0,bbl,invalid_date
,WELL-0012,24.0,0.0,187.6,389.0,675.2,2600.0,60.9,78.26,187.8,bbl,invalid_date
,WELL-0012,24.0,0.0,126.5,297.0,502.0,2585.8,60.3,79.87,132.7,bbl,invalid_date
,WELL-0013,19.8,4.2,56.1,49.9,77.9,2405.5,83.8,58.13,68.0,bbl,invalid_date
,WELL-0016,24.0,0.0,281.4,253.6,148.9,2002.9,76.5,34.6,284.6,bbl,invalid_date
,WELL-0017,24.0,0.0,164.1,197.4,235.1,2559.4,85.5,58.89,177.3,bbl,invalid_date
,WELL-0017,24.0,0.0,167.4,205.4,276.6,2445.8,83.6,62.3,167.4,bbl,invalid_date
,WELL-0018,24.0,0.0,,36.1,60.4,2904.2,60.7,65.72,32.1,bbl,invalid_date
,WELL-0018,24.0,0.0,28.7,32.8,54.5,2721.4,60.6,65.5,29.4,bbl,invalid_date
,WELL-0019,24.0,0.0,27.4,50.3,32.1,2345.2,83.3,53.95,27.4,bbl,invalid_date
,WELL-0019,24.0,0.0,26.6,45.2,32.8,2380.7,83.4,55.22,28.2,bbl,invalid_date
,WELL-0020,24.0,0.0,9.5,19.8,21.6,2250.0,75.8,69.45,10.1,bbl,invalid_date
,WELL-0021,24.0,0.0,707.6,871.4,202.8,3326.1,87.6,22.28,724.4,bbl,invalid_date
,WELL-0026,24.0,0.0,67.7,59.8,220.0,2856.3,90.5,76.47,69.0,bbl,invalid_date
,WELL-0029,24.0,0.0,42.8,63.9,95.5,2116.1,90.9,69.05,43.2,bbl,invalid_date
,WELL-0032,24.0,0.0,759.7,689.2,107.5,2179.2,63.8,12.4,794.3,bbl,invalid_date
,WELL-0033,24.0,0.0,343.6,283.6,191.4,3749.2,60.9,35.78,365.7,bbl,invalid_date
,WELL-0034,24.0,0.0,87.4,123.8,197.7,2598.7,88.3,69.34,88.3,bbl,invalid_date
,WELL-0037,24.0,0.0,1116.1,1380.0,546.8,2775.0,62.6,32.88,1150.7,bbl,invalid_date
,WELL-0040,24.0,0.0,105.4,199.6,99.4,2815.3,62.1,48.54,116.3,bbl,invalid_date
,WELL-0041,24.0,0.0,497.1,590.6,142.7,3880.4,77.8,22.3,524.4,bbl,invalid_date
,WELL-0041,24.0,0.0,340.3,396.3,134.3,3848.2,78.3,28.3,350.0,bbl,invalid_date
,WELL-0042,24.0,0.0,597.0,376.2,277.6,2555.9,78.5,31.74,623.4,bbl,invalid_date
,WELL-0042,24.0,0.0,487.9,327.6,287.5,2468.7,79.2,37.08,495.0,bbl,invalid_date
,WELL-0045,24.0,0.0,66.1,71.1,235.8,2417.8,69.0,78.11,66.1,bbl,invalid_date
,WELL-0046,24.0,0.0,49.7,73.6,96.0,2473.2,75.3,65.89,51.3,bbl,invalid_date
,WELL-0046,10.62,13.38,21.0,29.6,48.4,2513.8,75.2,69.74,48.4,bbl,invalid_date
,WELL-0050,24.0,0.0,156.9,241.7,531.6,2214.6,92.6,77.21,158.6,bbl,invalid_date
,WELL-0050,24.0,0.0,153.6,268.2,688.1,2102.0,96.2,81.75,155.2,bbl,invalid_date
,WELL-0050,24.0,0.0,149.6,279.1,607.2,2102.0,94.7,80.23,149.6,bbl,invalid_date
,WELL-0053,24.0,0.0,93.1,195.4,96.6,2726.1,74.2,50.92,93.7,bbl,invalid_date
,WELL-0054,24.0,0.0,152.2,238.0,147.8,3172.2,76.5,49.27,155.7,bbl,invalid_date
,WELL-0054,14.8,9.2,65.0,105.9,89.5,3089.3,77.7,57.93,106.0,bbl,invalid_date
,WELL-0055,24.0,0.0,33.53,214.3,290.2,3134.4,88.8,57.91,220.7,m3,invalid_date
,WELL-0055,24.0,0.0,210.6,219.3,293.4,3065.2,90.0,58.21,224.1,bbl,invalid_date
,WELL-0055,24.0,0.0,196.3,191.3,308.5,3144.4,89.0,61.11,196.3,bbl,invalid_date
,WELL-0056,24.0,0.0,1159.1,1609.1,556.1,2637.8,92.3,32.42,1243.9,bbl,invalid_date
,WELL-0058,24.0,0.0,70.0,133.0,165.5,1961.6,90.5,70.28,71.9,bbl,invalid_date
,WELL-0058,24.0,0.0,59.9,128.1,155.6,1928.9,93.1,72.2,60.4,bbl,invalid_date
,WELL-0060,24.0,0.0,52.4,101.1,83.0,1875.8,62.6,61.3,58.1,bbl,invalid_date
