equipment_id,well_id,impact_factor
EQ-0001,WELL-0001,1.0
EQ-0001,WELL-0005,1.0
EQ-0001,WELL-0009,1.0
EQ-0001,WELL-0013,1.0
EQ-0001,WELL-0017,1.0
EQ-0002,WELL-0002,1.0
EQ-0002,WELL-0006,1.0
EQ-0002,WELL-0010,1.0
EQ-0002,WELL-0014,1.0
EQ-0002,WELL-0018,1.0
EQ-0003,WELL-0003,1.0
EQ-0003,WELL-0007,1.0
EQ-0003,WELL-0011,1.0
EQ-0003,WELL-0015,1.0
EQ-0004,WELL-0004,1.0
EQ-0004,WELL-0008,1.0
EQ-0004,WELL-0012,1.0
EQ-0004,WELL-0016,1.0
EQ-0005,WELL-0001,0.6
EQ-0005,WELL-0002,0.6
EQ-0005,WELL-0003,0.6
EQ-0005,WELL-0004,0.6
EQ-0005,WELL-0005,0.6
EQ-0005,WELL-0006,0.6
EQ-0005,WELL-0007,0.6
EQ-0005,WELL-0008,0.6
EQ-0005,WELL-0009,0.6
EQ-0005,WELL-0010,0.6
EQ-0005,WELL-0011,0.6
EQ-0005,WELL-0012,0.6
EQ-0005,WELL-0013,0.6
EQ-0005,WELL-0014,0.6
EQ-0005,WELL-0015,0.6
EQ-0005,WELL-0016,0.6
EQ-0005,WELL-0017,0.6
EQ-0005,WELL-0018,0.6
EQ-0006,WELL-0001,0.6
EQ-0006,WELL-0002,0.6
EQ-0006,WELL-0003,0.6
EQ-0006,WELL-0004,0.6
EQ-0006,WELL-0005,0.6
EQ-0006,WELL-0006,0.6
EQ-0006,WELL-0007,0.6
EQ-0006,WELL-0008,0.6
EQ-0006,WELL-0009,0.6
EQ-0006,WELL-0010,0.6
EQ-0006,WELL-0011,0.6
EQ-0006,WELL-0012,0.6
EQ-0006,WELL-0013,0.6
EQ-0006,WELL-0014,0.6
EQ-0006,WELL-0015,0.6
EQ-0006,WELL-0016,0.6
EQ-0006,WELL-0017,0.6
EQ-0006,WELL-0018,0.6
EQ-0007,WELL-0001,0.6
EQ-0007,WELL-0002,0.6
EQ-0007,WELL-0003,0.6
EQ-0007,WELL-0004,0.6
EQ-0007,WELL-0005,0.6
EQ-0007,WELL-0006,0.6
EQ-0007,WELL-0007,0.6
EQ-0007,WELL-0008,0.6
EQ-0007,WELL-0009,0.6
EQ-0007,WELL-0010,0.6
EQ-0007,WELL-0011,0.6
EQ-0007,WELL-0012,0.6
EQ-0007,WELL-0013,0.6
EQ-0007,WELL-0014,0.6
EQ-0007,WELL-0015,0.6
EQ-0007,WELL-0016,0.6
EQ-0007,WELL-0017,0.6
EQ-0007,WELL-0018,0.6
EQ-0008,WELL-0001,0.6
EQ-0008,WELL-0002,0.6
EQ-0008,WELL-0003,0.6
EQ-0008,WELL-0004,0.6
EQ-0008,WELL-0005,0.6
EQ-0008,WELL-0006,0.6
EQ-0008,WELL-0007,0.6
EQ-0008,WELL-0008,0.6
EQ-0008,WELL-0009,0.6
EQ-0008,WELL-0010,0.6
EQ-0008,WELL-0011,0.6
EQ-0008,WELL-0012,0.6
EQ-0008,WELL-0013,0.6
EQ-0008,WELL-0014,0.6
EQ-0008,WELL-0015,0.6
EQ-0008,WELL-0016,0.6
EQ-0008,WELL-0017,0.6
EQ-0008,WELL-0018,0.6
EQ-0009,WELL-0001,0.8
EQ-0009,WELL-0002,0.8
EQ-0009,WELL-0003,0.8
EQ-0009,WELL-0004,0.8
EQ-0009,WELL-0005,0.8
EQ-0009,WELL-0006,0.8
EQ-0009,WELL-0007,0.8
EQ-0009,WELL-0008,0.8
EQ-0009,WELL-0009,0.8
EQ-0009,WELL-0010,0.8
EQ-0009,WELL-0011,0.8
EQ-0009,WELL-0012,0.8
EQ-0009,WELL-0013,0.8
EQ-0009,WELL-0014,0.8
EQ-0009,WELL-0015,0.8
EQ-0009,WELL-0016,0.8
EQ-0009,WELL-0017,0.8
EQ-0009,WELL-0018,0.8
EQ-0010,WELL-0003,0.7
EQ-0010,WELL-0004,0.7
EQ-0010,WELL-0017,0.7
EQ-0010,WELL-0006,0.7
EQ-0011,WELL-0016,0.7
EQ-0011,WELL-0012,0.7
EQ-0011,WELL-0017,0.7
EQ-0011,WELL-0006,0.7
EQ-0012,WELL-0001,0.5
EQ-0012,WELL-0002,0.5
EQ-0012,WELL-0003,0.5
EQ-0012,WELL-0004,0.5
EQ-0012,WELL-0005,0.5
EQ-0012,WELL-0006,0.5
EQ-0012,WELL-0007,0.5
EQ-0012,WELL-0008,0.5
EQ-0012,WELL-0009,0.5
EQ-0012,WELL-0010,0.5
EQ-0012,WELL-0011,0.5
EQ-0012,WELL-0012,0.5
EQ-0012,WELL-0013,0.5
EQ-0012,WELL-0014,0.5
EQ-0012,WELL-0015,0.5
EQ-0012,WELL-0016,0.5
EQ-0012,WELL-0017,0.5
EQ-0012,WELL-0018,0.5
EQ-0013,WELL-0019,1.0
EQ-0013,WELL-0023,1.0
EQ-0013,WELL-0027,1.0
EQ-0013,WELL-0031,1.0
EQ-0014,WELL-0020,1.0
EQ-0014,WELL-0024,1.0
EQ-0014,WELL-0028,1.0
EQ-0014,WELL-0032,1.0
EQ-0015,WELL-0021,1.0
EQ-0015,WELL-0025,1.0
EQ-0015,WELL-0029,1.0
EQ-0015,WELL-0033,1.0
EQ-0016,WELL-0022,1.0
EQ-0016,WELL-0026,1.0
EQ-0016,WELL-0030,1.0
EQ-0016,WELL-0034,1.0
EQ-0017,WELL-0019,0.6
EQ-0017,WELL-0020,0.6
EQ-0017,WELL-0021,0.6
EQ-0017,WELL-0022,0.6
EQ-0017,WELL-0023,0.6
EQ-0017,WELL-0024,0.6
EQ-0017,WELL-0025,0.6
EQ-0017,WELL-0026,0.6
EQ-0017,WELL-0027,0.6
EQ-0017,WELL-0028,0.6
EQ-0017,WELL-0029,0.6
EQ-0017,WELL-0030,0.6
EQ-0017,WELL-0031,0.6
EQ-0017,WELL-0032,0.6
EQ-0017,WELL-0033,0.6
EQ-0017,WELL-0034,0.6
EQ-0018,WELL-0019,0.6
EQ-0018,WELL-0020,0.6
EQ-0018,WELL-0021,0.6
EQ-0018,WELL-0022,0.6
EQ-0018,WELL-0023,0.6
EQ-0018,WELL-0024,0.6
EQ-0018,WELL-0025,0.6
EQ-0018,WELL-0026,0.6
EQ-0018,WELL-0027,0.6
EQ-0018,WELL-0028,0.6
EQ-0018,WELL-0029,0.6
EQ-0018,WELL-0030,0.6
EQ-0018,WELL-0031,0.6
