well_id,well_name,field_id,well_type,reservoir,depth_m,latitude,longitude,commission_date,status,primary_equipment_id
WELL-0001,PNX-101,FIELD-001,Horizontal,Synthetic Reservoir R3,2796,0.7063,0.0161,2012-10-15,Producing,EQ-0001
WELL-0002,PNX-102,FIELD-001,Directional,Synthetic Reservoir R3,3093,0.213,0.6714,2020-06-27,Producing,EQ-0002
WELL-0003,PNX-103,FIELD-001,Vertical,Synthetic Reservoir R2,1846,0.019,0.0499,2013-06-11,Producing,EQ-0003
WELL-0004,PNX-104,FIELD-001,Directional,Synthetic Reservoir R3,2748,0.0443,0.3363,2022-07-07,Producing,EQ-0004
WELL-0005,PNX-105,FIELD-001,Horizontal,Synthetic Reservoir R2,3717,0.4825,0.4628,2017-03-10,Producing,EQ-0001
WELL-0006,PNX-106,FIELD-001,Directional,Synthetic Reservoir R2,2638,0.6172,0.2672,2012-04-29,Producing,EQ-0002
WELL-0007,PNX-107,FIELD-001,Vertical,Synthetic Reservoir R3,3292,0.7746,0.1189,2012-09-28,Producing,EQ-0003
WELL-0008,PNX-108,FIELD-001,Horizontal,Synthetic Reservoir R1,2260,0.5311,0.0855,2017-11-06,Producing,EQ-0004
WELL-0009,PNX-109,FIELD-001,Vertical,Synthetic Reservoir R1,3663,0.5921,0.3767,2019-05-01,Producing,EQ-0001
WELL-0010,PNX-110,FIELD-001,Directional,Synthetic Reservoir R3,2649,0.6567,0.4977,2011-11-12,Producing,EQ-0002
WELL-0011,PNX-111,FIELD-001,Directional,Synthetic Reservoir R2,3133,0.4089,0.7429,2023-03-23,Producing,EQ-0003
WELL-0012,PNX-112,FIELD-001,Vertical,Synthetic Reservoir R2,4497,0.5991,0.5851,2011-02-14,Producing,EQ-0004
WELL-0013,PNX-113,FIELD-001,Horizontal,Synthetic Reservoir R3,2215,0.7645,0.0515,2011-01-20,Producing,EQ-0001
WELL-0014,PNX-114,FIELD-001,Vertical,Synthetic Reservoir R3,3939,0.1737,0.2437,2011-11-06,Producing,EQ-0002
WELL-0015,PNX-115,FIELD-001,Horizontal,Synthetic Reservoir R2,2875,0.7057,0.5728,2023-11-01,Producing,EQ-0003
WELL-0016,PNX-116,FIELD-001,Vertical,Synthetic Reservoir R2,4420,0.2503,0.2742,2020-01-03,Producing,EQ-0004
WELL-0017,PNX-117,FIELD-001,Vertical,Synthetic Reservoir R1,3217,0.5092,0.6318,2012-04-27,Producing,EQ-0001
WELL-0018,PNX-118,FIELD-001,Directional,Synthetic Reservoir R3,3700,0.7199,0.283,2012-04-06,Producing,EQ-0002
WELL-0019,PNX-201,FIELD-002,Horizontal,Synthetic Reservoir R2,2616,1.1383,2.0408,2016-02-16,Producing,EQ-0013
WELL-0020,PNX-202,FIELD-002,Vertical,Synthetic Reservoir R3,1997,1.7527,2.3902,2011-02-08,Producing,EQ-0014
WELL-0021,PNX-203,FIELD-002,Horizontal,Synthetic Reservoir R1,4322,1.2096,1.7629,2022-10-24,Producing,EQ-0015
WELL-0022,PNX-204,FIELD-002,Directional,Synthetic Reservoir R3,3118,1.3046,2.26,2022-03-10,Producing,EQ-0016
WELL-0023,PNX-205,FIELD-002,Horizontal,Synthetic Reservoir R2,3386,1.1598,1.805,2022-02-19,Producing,EQ-0013
WELL-0024,PNX-206,FIELD-002,Horizontal,Synthetic Reservoir R2,3452,1.6486,2.3669,2019-08-31,Producing,EQ-0014
WELL-0025,PNX-207,FIELD-002,Horizontal,Synthetic Reservoir R2,2539,1.1115,1.5369,2019-11-26,Producing,EQ-0015
WELL-0026,PNX-208,FIELD-002,Vertical,Synthetic Reservoir R3,1665,1.0438,1.5984,2015-05-20,Producing,EQ-0016
WELL-0027,PNX-209,FIELD-002,Directional,Synthetic Reservoir R1,3531,1.0266,1.8612,2022-12-21,Producing,EQ-0013
WELL-0028,PNX-210,FIELD-002,Vertical,Synthetic Reservoir R1,3525,1.6459,2.2267,2019-07-16,Producing,EQ-0014
WELL-0029,PNX-211,FIELD-002,Vertical,Synthetic Reservoir R1,2596,1.0605,1.6818,2014-05-15,Producing,EQ-0015
WELL-0030,PNX-212,FIELD-002,Directional,Synthetic Reservoir R3,3726,1.5317,2.0881,2013-04-26,Producing,EQ-0016
WELL-0031,PNX-213,FIELD-002,Directional,Synthetic Reservoir R3,2266,1.8123,2.2088,2020-05-12,Producing,EQ-0013
WELL-0032,PNX-214,FIELD-002,Directional,Synthetic Reservoir R1,2291,1.2813,1.5459,2023-06-12,Producing,EQ-0014
WELL-0033,PNX-215,FIELD-002,Directional,Synthetic Reservoir R2,1587,1.3882,2.2025,2022-05-07,Producing,EQ-0015
WELL-0034,PNX-216,FIELD-002,Horizontal,Synthetic Reservoir R1,1951,1.0426,1.6244,2014-04-14,Producing,EQ-0016
WELL-0035,PNX-301,FIELD-003,Directional,Synthetic Reservoir R3,2873,2.6956,3.7699,2022-10-02,Producing,EQ-0025
WELL-0036,PNX-302,FIELD-003,Directional,Synthetic Reservoir R2,2452,2.0703,3.0269,2022-06-21,Producing,EQ-0026
WELL-0037,PNX-303,FIELD-003,Vertical,Synthetic Reservoir R3,3883,2.8926,3.0036,2023-09-06,Producing,EQ-0027
WELL-0038,PNX-304,FIELD-003,Horizontal,Synthetic Reservoir R2,2069,2.5361,3.2082,2014-05-21,Producing,EQ-0028
WELL-0039,PNX-305,FIELD-003,Directional,Synthetic Reservoir R3,1537,2.7164,3.4682,2011-03-07,Producing,EQ-0025
WELL-0040,PNX-306,FIELD-003,Directional,Synthetic Reservoir R1,4139,2.7905,3.3411,2013-05-27,Producing,EQ-0026
WELL-0041,PNX-307,FIELD-003,Horizontal,Synthetic Reservoir R2,1569,2.8813,3.3394,2023-10-31,Producing,EQ-0027
WELL-0042,PNX-308,FIELD-003,Directional,Synthetic Reservoir R2,3806,2.1466,3.6161,2022-11-21,Producing,EQ-0028
WELL-0043,PNX-309,FIELD-003,Vertical,Synthetic Reservoir R1,1635,2.4333,3.8634,2012-04-16,Producing,EQ-0025
WELL-0044,PNX-310,FIELD-003,Vertical,Synthetic Reservoir R1,4323,2.4976,3.0873,2016-10-19,Producing,EQ-0026
WELL-0045,PNX-311,FIELD-003,Directional,Synthetic Reservoir R1,3780,2.6951,3.1861,2014-01-01,Producing,EQ-0027
WELL-0046,PNX-312,FIELD-003,Horizontal,Synthetic Reservoir R3,3741,2.4778,3.2236,2012-04-27,Producing,EQ-0028
WELL-0047,PNX-313,FIELD-003,Vertical,Synthetic Reservoir R1,4356,2.4338,3.8579,2022-11-22,Producing,EQ-0025
WELL-0048,PNX-314,FIELD-003,Horizontal,Synthetic Reservoir R1,3954,2.6675,3.4219,2023-01-14,Producing,EQ-0026
WELL-0049,PNX-401,FIELD-004,Vertical,Synthetic Reservoir R2,4480,3.2528,4.5559,2020-02-08,Producing,EQ-0037
WELL-0050,PNX-402,FIELD-004,Horizontal,Synthetic Reservoir R2,3076,3.1595,5.1103,2011-09-20,Producing,EQ-0038
WELL-0051,PNX-403,FIELD-004,Horizontal,Synthetic Reservoir R2,2709,3.5056,5.1478,2014-05-18,Producing,EQ-0039
WELL-0052,PNX-404,FIELD-004,Vertical,Synthetic Reservoir R2,4162,3.178,5.2003,2018-03-24,Producing,EQ-0040
WELL-0053,PNX-405,FIELD-004,Horizontal,Synthetic Reservoir R3,4358,3.5491,4.7296,2014-03-21,Producing,EQ-0037
WELL-0054,PNX-406,FIELD-004,Directional,Synthetic Reservoir R3,4069,3.4408,5.069,2019-05-09,Producing,EQ-0038
WELL-0055,PNX-407,FIELD-004,Vertical,Synthetic Reservoir R2,3434,3.2604,4.732,2016-05-14,Producing,EQ-0039
WELL-0056,PNX-408,FIELD-004,Vertical,Synthetic Reservoir R3,1846,3.8987,4.6733,2023-10-01,Producing,EQ-0040
WELL-0057,PNX-409,FIELD-004,Vertical,Synthetic Reservoir R3,1967,3.497,4.9507,2023-10-11,Producing,EQ-0037
WELL-0058,PNX-410,FIELD-004,Vertical,Synthetic Reservoir R2,3516,3.318,5.2087,2015-03-05,Producing,EQ-0038
WELL-0059,PNX-411,FIELD-004,Directional,Synthetic Reservoir R1,2341,3.0475,4.5005,2022-11-10,Producing,EQ-0039
