date,material_id,supplier_id,warehouse_id,opening_stock,receipts,consumption,closing_stock,reorder_level,unit_cost,stockout_flag
2022-01-01,MAT-006,SUP-001,WH-001,19.0,0.0,0.0,19.0,7.0,630.77,0
2022-01-01,MAT-006,SUP-001,WH-002,13.5,0.0,0.0,13.5,5.0,630.77,0
2022-01-01,MAT-007,SUP-001,WH-002,13.5,0.0,0.0,13.5,5.0,1810.3,0
2022-01-01,MAT-007,SUP-001,WH-003,17.0,0.0,0.0,17.0,6.0,1810.3,0
2022-01-01,MAT-008,SUP-001,WH-003,16.5,0.0,0.0,16.5,6.0,636.55,0
2022-01-01,MAT-008,SUP-001,WH-004,10.5,0.0,0.0,10.5,4.0,636.55,0
2022-01-01,MAT-009,SUP-002,WH-004,14.0,0.0,1.0,13.0,5.0,677.13,0
2022-01-01,MAT-009,SUP-002,WH-001,14.0,0.0,0.0,14.0,5.0,677.13,0
2022-01-01,MAT-010,SUP-002,WH-001,8.5,0.0,0.0,8.5,3.0,856.73,0
2022-01-01,MAT-010,SUP-002,WH-002,14.5,0.0,0.0,14.5,5.0,856.73,0
2022-01-01,MAT-036,SUP-008,WH-002,129.0,0.0,1.0,128.0,33.0,75.97,0
2022-01-01,MAT-036,SUP-008,WH-003,194.0,0.0,2.0,192.0,49.0,75.97,0
2022-01-01,MAT-037,SUP-004,WH-003,170.0,0.0,0.0,170.0,40.0,108.65,0
2022-01-01,MAT-037,SUP-004,WH-004,109.0,0.0,2.0,107.0,26.0,108.65,0
2022-01-01,MAT-038,SUP-008,WH-004,110.5,0.0,2.0,108.5,30.0,70.54,0
2022-01-01,MAT-038,SUP-008,WH-001,156.0,0.0,1.0,155.0,42.0,70.54,0
2022-01-01,MAT-039,SUP-008,WH-001,222.5,0.0,3.0,219.5,63.0,95.74,0
2022-01-01,MAT-039,SUP-008,WH-002,184.0,0.0,6.0,178.0,52.0,95.74,0
2022-01-01,MAT-040,SUP-008,WH-002,106.0,0.0,3.0,103.0,27.0,97.48,0
01-Jan-2022,MAT-040,SUP-008,WH-003,157.0,0.0,2.0,155.0,40.0,97.48,0
01-Jan-2022,MAT-026,SUP-006,WH-003,13.5,0.0,0.0,13.5,5.0,433.64,0
2022-01-01,MAT-026,SUP-006,WH-004,13.0,0.0,0.0,13.0,5.0,433.64,0
