maintenance_id,material_id,quantity,warehouse_id
MNT-000001,MAT-011,6,WH-001
MNT-000001,MAT-015,4,WH-001
MNT-000002,MAT-004,4,WH-002
MNT-000002,MAT-035,1,WH-002
MNT-000003,MAT-009,6,WH-004
MNT-000004,MAT-016,5,WH-001
MNT-000005,MAT-004,5,WH-002
MNT-000005,MAT-012,1,WH-002
MNT-000006,MAT-010,4,WH-002
MNT-000007,MAT-010,3,WH-001
MNT-000008,MAT-014,1,WH-001
MNT-000009,MAT-004,4,WH-002
MNT-000010,MAT-004,2,WH-002
MNT-000011,MAT-002,8,WH-004
MNT-000012,MAT-018,4,WH-003
MNT-000013,MAT-002,6,WH-001
MNT-000014,MAT-017,4,WH-002
MNT-000014,MAT-035,4,WH-002
MNT-000015,MAT-004,6,WH-003
MNT-000016,MAT-009,4,WH-001
MNT-000017,MAT-004,4,WH-002
MNT-000018,MAT-023,6,WH-003
MNT-000019,MAT-013,5,WH-004
MNT-000020,MAT-004,6,WH-003
MNT-000020,MAT-007,5,WH-003
MNT-000021,MAT-008,4,WH-004
MNT-000022,MAT-013,6,WH-004
MNT-000022,MAT-027,2,WH-004
MNT-000023,MAT-003,4,WH-001
MNT-000024,MAT-039,2,WH-001
MNT-000025,MAT-004,8,WH-002
MNT-000026,MAT-008,5,WH-003
MNT-000028,MAT-006,5,WH-002
MNT-000029,MAT-017,1,WH-001
MNT-000030,MAT-014,5,WH-001
MNT-000032,MAT-009,6,WH-001
MNT-000032,MAT-016,5,WH-001
MNT-000033,MAT-016,4,WH-004
MNT-000034,MAT-040,5,WH-003
MNT-000035,MAT-005,3,WH-003
MNT-000036,MAT-022,3,WH-002
MNT-000037,MAT-003,4,WH-002
MNT-000038,MAT-005,5,WH-004
MNT-000038,MAT-037,3,WH-004
MNT-000039,MAT-003,2,WH-002
MNT-000040,MAT-012,3,WH-003
MNT-000041,MAT-004,2,WH-003
MNT-000042,MAT-024,2,WH-003
MNT-000044,MAT-030,4,WH-004
MNT-000045,MAT-025,2,WH-001
MNT-000045,MAT-028,3,WH-001
MNT-000046,MAT-031,5,WH-003
MNT-000047,MAT-004,2,WH-003
MNT-000048,MAT-002,2,WH-004
MNT-000049,MAT-004,4,WH-002
MNT-000050,MAT-016,5,WH-004
MNT-000050,MAT-019,5,WH-004
MNT-000051,MAT-017,6,WH-001
MNT-000052,MAT-009,5,WH-004
MNT-000054,MAT-017,2,WH-002
MNT-000055,MAT-018,1,WH-002
MNT-000056,MAT-031,3,WH-002
MNT-000057,MAT-033,4,WH-001
MNT-000059,MAT-034,3,WH-002
MNT-000060,MAT-012,2,WH-003
MNT-000061,MAT-032,4,WH-004
MNT-000062,MAT-018,6,WH-002
MNT-000063,MAT-005,6,WH-004
MNT-000064,MAT-009,6,WH-001
MNT-000064,MAT-016,4,WH-001
MNT-000065,MAT-004,10,WH-002
MNT-000066,MAT-023,8,WH-002
MNT-000067,MAT-020,4,WH-001
MNT-000069,MAT-002,4,WH-004
MNT-000070,MAT-036,6,WH-002
MNT-000071,MAT-040,5,WH-002
MNT-000072,MAT-017,2,WH-002
MNT-000073,MAT-035,2,WH-003
MNT-000075,MAT-007,7,WH-002
MNT-000076,MAT-038,6,WH-004
MNT-000077,MAT-016,2,WH-004
MNT-000078,MAT-014,2,WH-004
MNT-000079,MAT-014,6,WH-001
MNT-000081,MAT-033,2,WH-001
MNT-000082,MAT-010,6,WH-002
MNT-000083,MAT-007,3,WH-003
MNT-000084,MAT-037,8,WH-004
MNT-000085,MAT-014,2,WH-004
MNT-000086,MAT-002,3,WH-001
MNT-000086,MAT-015,4,WH-001
MNT-000087,MAT-017,1,WH-002
MNT-000088,MAT-007,4,WH-003
MNT-000088,MAT-013,1,WH-003
MNT-000089,MAT-025,6,WH-001
MNT-000090,MAT-018,6,WH-002
MNT-000092,MAT-013,2,WH-003
MNT-000093,MAT-012,2,WH-003
MNT-000094,MAT-015,6,WH-001
MNT-000095,MAT-007,2,WH-002
MNT-000096,MAT-001,6,WH-003
MNT-000097,MAT-001,5,WH-004
MNT-000098,MAT-003,4,WH-001
MNT-000099,MAT-003,1,WH-001
MNT-000100,MAT-004,5,WH-002
MNT-000101,MAT-018,6,WH-003
MNT-000101,MAT-019,1,WH-003
MNT-000102,MAT-009,6,WH-004
MNT-000103,MAT-039,6,WH-002
MNT-000104,MAT-013,2,WH-004
MNT-000104,MAT-014,6,WH-004
MNT-000105,MAT-007,5,WH-003
MNT-000107,MAT-012,8,WH-003
MNT-000108,MAT-007,3,WH-002
MNT-000109,MAT-031,5,WH-003
MNT-000110,MAT-022,8,WH-002
MNT-000112,MAT-022,2,WH-001
MNT-000113,MAT-013,4,WH-003
MNT-000114,MAT-013,7,WH-004
MNT-000115,MAT-008,1,WH-004
MNT-000116,MAT-013,5,WH-004
MNT-000117,MAT-012,10,WH-003
MNT-000118,MAT-006,4,WH-002
MNT-000119,MAT-014,7,WH-004
MNT-000120,MAT-006,5,WH-001
MNT-000121,MAT-019,2,WH-003
MNT-000123,MAT-017,4,WH-001
MNT-000124,MAT-003,3,WH-001
MNT-000125,MAT-008,7,WH-003
MNT-000126,MAT-013,4,WH-003
MNT-000127,MAT-007,1,WH-003
MNT-000128,MAT-006,2,WH-001
MNT-000128,MAT-009,4,WH-001
MNT-000129,MAT-007,3,WH-003
MNT-000130,MAT-034,3,WH-001
MNT-000131,MAT-017,2,WH-001
MNT-000132,MAT-013,4,WH-004
MNT-000133,MAT-006,3,WH-001
MNT-000133,MAT-009,3,WH-001
MNT-000134,MAT-032,5,WH-003
MNT-000134,MAT-036,6,WH-003
MNT-000135,MAT-001,3,WH-003
MNT-000136,MAT-032,5,WH-003
MNT-000137,MAT-040,2,WH-003
MNT-000138,MAT-015,8,WH-001
MNT-000139,MAT-020,6,WH-004
MNT-000140,MAT-011,8,WH-002
MNT-000141,MAT-003,2,WH-002
MNT-000142,MAT-003,7,WH-002
MNT-000143,MAT-011,2,WH-002
MNT-000144,MAT-004,8,WH-003
MNT-000146,MAT-025,5,WH-004
MNT-000146,MAT-030,4,WH-004
MNT-000147,MAT-033,4,WH-001
MNT-000148,MAT-005,4,WH-004
MNT-000148,MAT-014,4,WH-004
MNT-000149,MAT-012,1,WH-002
MNT-000149,MAT-015,1,WH-002
MNT-000150,MAT-027,4,WH-004
MNT-000151,MAT-007,5,WH-003
MNT-000152,MAT-033,4,WH-001
MNT-000154,MAT-015,2,WH-002
MNT-000154,MAT-028,5,WH-002
MNT-000155,MAT-033,2,WH-004
MNT-000156,MAT-032,1,WH-004
MNT-000157,MAT-039,2,WH-001
MNT-000158,MAT-004,4,WH-002
MNT-000159,MAT-018,5,WH-003
MNT-000160,MAT-003,4,WH-002
MNT-000161,MAT-020,7,WH-004
MNT-000162,MAT-021,2,WH-001
MNT-000163,MAT-002,1,WH-001
MNT-000163,MAT-006,1,WH-001
MNT-000164,MAT-001,2,WH-004
MNT-000165,MAT-003,4,WH-001
MNT-000166,MAT-007,5,WH-003
MNT-000167,MAT-013,8,WH-004
MNT-000168,MAT-025,2,WH-004
MNT-000169,MAT-016,6,WH-001
MNT-000170,MAT-039,3,WH-002
MNT-000171,MAT-032,2,WH-004
MNT-000172,MAT-017,4,WH-002
MNT-000173,MAT-033,2,WH-004
MNT-000175,MAT-023,7,WH-002
MNT-000176,MAT-028,6,WH-002
MNT-000177,MAT-013,6,WH-003
MNT-000179,MAT-016,8,WH-001
MNT-000180,MAT-001,4,WH-004
MNT-000181,MAT-019,4,WH-004
MNT-000182,MAT-007,8,WH-002
MNT-000183,MAT-008,5,WH-003
MNT-000184,MAT-012,5,WH-002
MNT-000185,MAT-003,7,WH-002
MNT-000186,MAT-031,6,WH-002
MNT-000187,MAT-017,3,WH-002
MNT-000187,MAT-018,1,WH-002
MNT-000188,MAT-005,4,WH-004
MNT-000190,MAT-002,4,WH-001
MNT-000191,MAT-009,1,WH-001
MNT-000192,MAT-032,4,WH-003
MNT-000194,MAT-008,5,WH-003
MNT-000195,MAT-035,4,WH-002
MNT-000195,MAT-040,3,WH-002
MNT-000196,MAT-005,1,WH-004
MNT-000196,MAT-008,1,WH-004
MNT-000197,MAT-033,1,WH-001
MNT-000198,MAT-011,3,WH-002
MNT-000199,MAT-009,7,WH-004
MNT-000200,MAT-021,2,WH-004
MNT-000201,MAT-003,3,WH-002
MNT-000202,MAT-014,7,WH-004
MNT-000203,MAT-015,8,WH-001
MNT-000204,MAT-025,2,WH-001
MNT-000205,MAT-018,3,WH-003
MNT-000205,MAT-019,2,WH-003
MNT-000206,MAT-004,2,WH-003
MNT-000207,MAT-004,1,WH-003
MNT-000208,MAT-003,2,WH-002
MNT-000208,MAT-017,1,WH-002
MNT-000209,MAT-023,6,WH-002
MNT-000210,MAT-004,6,WH-002
MNT-000210,MAT-012,5,WH-002
MNT-000211,MAT-019,5,WH-003
MNT-000213,MAT-015,4,WH-001
MNT-000214,MAT-005,2,WH-003
MNT-000214,MAT-008,1,WH-003
MNT-000215,MAT-011,2,WH-001
MNT-000216,MAT-008,5,WH-004
MNT-000217,MAT-014,1,WH-004
MNT-000218,MAT-001,2,WH-003
MNT-000219,MAT-002,3,WH-001
MNT-000220,MAT-003,2,WH-001
MNT-000221,MAT-007,7,WH-003
MNT-000222,MAT-008,5,WH-003
MNT-000222,MAT-013,2,WH-003
MNT-000223,MAT-004,5,WH-003
MNT-000224,MAT-002,8,WH-004
MNT-000226,MAT-007,6,WH-002
MNT-000228,MAT-035,4,WH-002
MNT-000229,MAT-031,8,WH-003
MNT-000230,MAT-015,3,WH-002
MNT-000231,MAT-007,6,WH-003
MNT-000231,MAT-013,2,WH-003
MNT-000232,MAT-016,5,WH-004
MNT-000233,MAT-027,1,WH-004
MNT-000234,MAT-009,5,WH-001
MNT-000235,MAT-019,6,WH-003
MNT-000236,MAT-021,4,WH-001
MNT-000236,MAT-025,2,WH-001
MNT-000237,MAT-005,2,WH-003
MNT-000239,MAT-038,4,WH-001
MNT-000240,MAT-008,6,WH-004
MNT-000241,MAT-040,2,WH-002
MNT-000242,MAT-037,2,WH-003
MNT-000243,MAT-020,3,WH-004
MNT-000244,MAT-004,1,WH-002
MNT-000245,MAT-007,4,WH-003
MNT-000246,MAT-034,2,WH-001
MNT-000248,MAT-014,4,WH-004
MNT-000249,MAT-010,4,WH-002
MNT-000251,MAT-006,8,WH-001
MNT-000252,MAT-039,2,WH-001
MNT-000253,MAT-038,3,WH-004
MNT-000254,MAT-012,4,WH-002
MNT-000254,MAT-022,2,WH-002
MNT-000255,MAT-017,1,WH-002
MNT-000256,MAT-002,5,WH-001
MNT-000257,MAT-005,8,WH-004
MNT-000258,MAT-024,3,WH-004
MNT-000259,MAT-011,6,WH-001
MNT-000260,MAT-025,1,WH-001
MNT-000261,MAT-012,4,WH-003
MNT-000262,MAT-019,1,WH-003
MNT-000263,MAT-025,4,WH-004
MNT-000264,MAT-007,5,WH-003
MNT-000265,MAT-002,6,WH-001
MNT-000265,MAT-006,3,WH-001
MNT-000266,MAT-012,3,WH-002
MNT-000267,MAT-012,4,WH-003
MNT-000268,MAT-001,4,WH-004
MNT-000269,MAT-003,5,WH-001
