date,field_id,cost_category,cost_amount_usd
2022-01-01,FIELD-001,Energy,3374.63
01-Jan-2022,FIELD-001,Labor,20198.4
2022-01-01,FIELD-001,Maintenance,0.0
20220101,FIELD-001,Other,3363.32
2022-01-01,FIELD-001,Production,37163.87
2022-01-01,FIELD-001,Transportation,12546.23
2022-01-01,FIELD-001,Utilities,5894.96
2022-01-01,FIELD-002,Energy,3422.02
2022-01-01,FIELD-002,Labor,13736.81
2022-01-01,FIELD-002,Maintenance,0.0
2022-01-01,FIELD-002,Other,5334.95
2022/01/01,FIELD-002,Production,18240.17
2022-01-01,FIELD-002,Transportation,5267.78
2022-01-01,FIELD-002,Utilities,5630.47
2022-01-01,FIELD-003,Energy,3335.94
2022-01-01,FIELD-003,Labor,9614.47
2022-01-01,FIELD-003,Maintenance,0.0
01-Jan-2022,FIELD-003,Other,10062.89
01-Jan-2022,FIELD-003,Production,9403.05
2022-01-01,FIELD-003,Transportation,1480.8
01-Jan-2022,FIELD-003,Utilities,5885.78
2022-01-01,FIELD-004,Energy,3403.9
2022-01-01,FIELD-004,Labor,12568.99
2022-01-01,FIELD-004,Maintenance,0.0
2022/01/01,FIELD-004,Other,4399.39
2022-01-01,FIELD-004,Production,16216.85
2022-01-01,FIELD-004,Transportation,4566.88
2022-01-01,FIELD-004,Utilities,6104.11
2022-01-02,FIELD-001,Energy,3400.1
2022-01-02,FIELD-001,Labor,19191.6
2022-01-02,FIELD-001,Maintenance,0.0
2022/01/02,FIELD-001,other,9193.91
2022/01/02,FIELD-001,Production,37505.83
2022/01/02,FIELD-001,Transportation,14467.76
02-Jan-2022,FIELD-001,Utilities,5869.32
2022-01-02,FIELD-002,Energy,3427.45
2022-01-02,FIELD-002,Labor,13920.34
2022-01-02,FIELD-002,Maintenance,0.0
2022-01-02,FIELD-002,Other,3390.53
2022-01-02,FIELD-002,Production,17742.04
2022-01-02,FIELD-002,Transportation,5062.16
2022-01-02,FIELD-002,Utilities,5594.29
2022-01-02,FIELD-003,Energy,3445.33
20220102,FIELD-003,Labor,9687.35
2022-01-02,FIELD-003,Maintenance,0.0
2022-01-02,FIELD-003,Other,2601.48
2022-01-02,FIELD-003,Production,9443.5
2022-01-02,FIELD-003,Transportation,1505.97
2022-01-02,FIELD-003,Utilities,6412.45
02-Jan-2022,FIELD-004,Energy,3367.89
2022-01-02,FIELD-004,Labor,12104.07
2022-01-02,FIELD-004,Maintenance,0.0
2022-01-02,FIELD-004,Other,4784.35
2022/01/02,FIELD-004,Production,15957.82
2022-01-02,FIELD-004,Transportation,4117.02
2022-01-02,FIELD-004,Utilities,6317.45
2022-01-03,FIELD-001,Energy,3392.35
2022-01-03,FIELD-001,Labor,20694.48
2022-01-03,FIELD-001,Maintenance,2125.69
2022-01-03,FIELD-001,Other,5413.24
2022-01-03,FIELD-001,Production,36358.29
2022-01-03,FIELD-001,Transportation,13271.7
2022/01/03,FIELD-001,Utilities,6400.83
2022-01-03,FIELD-002,Energy,3405.07
03-Jan-2022,FIELD-002,Labor,14079.45
2022-01-03,FIELD-002,Maintenance,0.0
2022-01-03,FIELD-002,Other,2647.41
2022-01-03,FIELD-002,Production,18187.46
2022-01-03,FIELD-002,Transportation,5180.92
2022-01-03,FIELD-002,Utilities,6395.89
2022-01-03,FIELD-003,Energy,3518.53
2022-01-03,FIELD-003,Labor,9175.49
20220103,FIELD-003,Maintenance,0.0
2022-01-03,FIELD-003,Other,3021.12
2022-01-03,FIELD-003,Production,9355.95
2022-01-03,FIELD-003,Transportation,1434.56
2022-01-03,FIELD-003,Utilities,5749.89
2022-01-03,FIELD-004,Energy,3423.03
2022-01-03,FIELD-004,Labor,12158.4
2022-01-03,FIELD-004,Maintenance,0.0
2022-01-03,FIELD-004,Other,4549.6
2022-01-03,FIELD-004,Production,17183.49
2022-01-03,FIELD-004,Transportation,4463.16
2022-01-03,FIELD-004,Utilities,5503.77
2022-01-04,FIELD-001,Energy,3389.65
2022-01-04,FIELD-001,Labor,20923.69
2022-01-04,FIELD-001,Maintenance,0.0
2022-01-04,FIELD-001,Other,7509.57
2022-01-04,FIELD-001,Production,37920.24
2022-01-04,FIELD-001,transport,13877.33
2022-01-04,FIELD-001,Utilities,6218.32
2022-01-04,FIELD-002,Energy,3364.52
20220104,FIELD-002,Labor,13658.64
2022-01-04,FIELD-002,Maintenance,0.0
2022-01-04,FIELD-002,Other,4665.92
2022-01-04,FIELD-002,Production,18805.05
20220104,FIELD-002,Transportation,5603.4
