timestamp,equipment_id,temperature_c,pressure_psi,vibration_mm_s,flow_rate,energy_consumption_kwh,operating_hours
2022-01-01 06:00:00,EQ-0001,65.0,917.8,2.322,89.31,1149.9,12.0
2022-01-01 18:00:00,EQ-0001,67.18,895.4,2.636,80.34,1215.3,12.0
2022-01-02 06:00:00,EQ-0001,69.02,864.1,3.026,93.13,1323.4,12.0
2022-01-02 18:00:00,EQ-0001,72.98,848.1,3.917,84.77,1268.9,12.0
2022-01-03 06:00:00,EQ-0001,65.26,913.9,2.312,64.26,841.6,8.56
2022-01-03 18:00:00,EQ-0001,65.11,899.8,2.339,63.92,886.9,8.56
2022-01-04 06:00:00,EQ-0001,66.69,932.3,2.334,91.0,1166.3,12.0
2022-01-04 18:00:00,EQ-0001,66.66,903.8,2.445,89.82,1117.2,12.0
2022-01-05 06:00:00,EQ-0001,66.72,886.1,2.316,92.96,1141.2,12.0
2022-01-05 18:00:00,EQ-0001,66.81,903.4,2.264,90.58,1245.7,12.0
2022-01-06 06:00:00,EQ-0001,65.91,906.2,2.225,89.72,1220.8,12.0
2022-01-06 18:00:00,EQ-0001,64.67,894.1,2.36,92.58,1271.5,12.0
2022-01-07 06:00:00,EQ-0001,63.71,915.6,2.35,88.07,1222.0,12.0
2022-01-07 18:00:00,EQ-0001,64.85,915.8,2.31,91.64,1204.7,12.0
2022-01-08 06:00:00,EQ-0001,63.74,903.5,2.552,89.85,1184.1,12.0
2022-01-08 18:00:00,EQ-0001,64.48,897.3,2.288,88.99,1229.1,12.0
2022-01-09 06:00:00,EQ-0001,63.78,908.8,2.316,87.04,1170.1,12.0
2022-01-09 18:00:00,EQ-0001,61.02,897.0,2.36,89.36,1281.1,12.0
2022-01-10 06:00:00,EQ-0001,62.44,905.1,2.505,90.77,1132.1,12.0
2022-01-10 18:00:00,EQ-0001,63.66,911.9,2.346,87.31,1188.9,12.0
2022-01-11 06:00:00,EQ-0001,63.28,889.6,2.321,90.1,1197.9,12.0
2022-01-11 18:00:00,EQ-0001,64.27,915.2,2.471,91.65,1208.1,12.0
