area_prefix,oil_bbl,gas_mcf,water_bbl,completion_months,oil_share_pct
MC,431674465,439641416,196256784,9311,40.094426650539425
GC,320270896,258381116,109513079,6435,29.747133521030808
WR,122836929,47021170,17104103,1185,11.409236911356384
AC,68932860,107918871,10752191,1123,6.402564254250951
KC,33857584,21433947,16562037,471,3.1447318021288964
GB,18575123,51701184,24701945,1141,1.7252790401865625
EW,17608016,21445765,13362477,1913,1.6354530166001935
DC,10864800,5253893,1485099,144,1.0091352674121707
MP,9622358,18861532,34033643,12988,0.8937358086173368
VK,8148275,39723239,10375621,1748,0.7568212641809242
EI,7784543,17649276,38315921,7548,0.7230374127445091
ST,5389026,35738185,54024490,6500,0.5005390061115843
SS,5192718,9359602,18259236,9083,0.4823056906271623
SM,3218120,5232692,13188281,7894,0.2989027305393983
WD,2590219,6979148,23855732,5832,0.24058255496843803
GI,1847703,5807203,6903583,2761,0.17161680481953373
AT,1793129,1406548,1219571,126,0.16654790819154686
VR,1383252,5828794,4590434,1487,0.12847805545600655
EC,1112370,1593371,5935232,1607,0.10331822006951591
BM,908810,594312,1035283,758,0.08441133038591184
SP,794700,759070,6508196,1756,0.0738126607956384
EB,710943,1209675,1756974,149,0.06603321316727513
HIA,563857,3923231,1616592,1131,0.052371694322695714
GA,559732,4952656,3692214,378,0.05198855952241635
BS,356101,1635994,2037794,906,0.03307507527618929
WC,43808,2746883,4487,254,0.0040689380195486685
MO,4227,27394962,421136,368,0.0003926086789771782
BAA,0,0,0,48,0.0
DD,0,0,0,54,0.0
HI,0,138846,0,106,0.0
