month,oil_bbl,gas_mcf,water_bbl,completions,operators,leases,water_to_oil_ratio,gas_to_oil_mcf_per_bbl,oil_bbl_per_day_calendar
2025-01-01,56034961,58090056,32822461,5075,47,639,0.5857496893769588,1.0366752285238496,1807579.3870967743
2025-02-01,49673730,52394411,30629985,4963,47,635,0.6166234144285118,1.0547710228323905,1774061.7857142857
2025-03-01,56155887,60550399,34408007,4927,47,634,0.6127230614307633,1.078255588768458,1811480.2258064516
2025-04-01,54903761,58559171,31204625,4907,46,629,0.568351319320365,1.066578499057651,1830125.3666666667
2025-05-01,57137177,61281528,32561877,4821,46,617,0.5698894959406202,1.0725333524965714,1843134.7419354839
2025-06-01,58469587,62339306,34784264,4834,46,615,0.594912086517731,1.0661834502097647,1948986.2333333334
2025-07-01,59986591,65722676,33682184,4799,46,614,0.5614952181563376,1.0956227867657957,1935051.322580645
2025-08-01,62996525,67957109,35333713,4760,44,605,0.5608835249245891,1.0787437719778987,2032145.9677419355
2025-09-01,61931894,65699914,35378355,4746,44,604,0.5712461336964764,1.060841349370003,2064396.4666666666
2025-10-01,66501289,70337281,36845224,4737,43,601,0.5540527793378561,1.057682972130059,2145202.870967742
2025-11-01,62095590,65830080,34001719,4728,43,599,0.5475705923721798,1.0601409858574498,2069853.0
2025-12-01,65078743,69976474,35983223,4707,43,598,0.5529182240044188,1.0752585371847148,2099314.290322581
2026-01-01,64971130,69341977,36910252,4673,43,594,0.5681023556154865,1.0672736798636564,2095842.9032258065
2026-02-01,56956960,60786988,34002303,4663,43,590,0.5969824056620999,1.067244248990817,2034177.142857143
2026-03-01,62994915,67624590,36329221,4637,43,587,0.5767008495844467,1.0734928366837229,2032094.0322580645
2026-04-01,63955183,67772745,36340066,4430,42,579,0.5682114301822887,1.0596912059496413,2131839.433333333
2026-05-01,59380671,60611083,33692840,4433,41,581,0.5674041642271102,1.0207207493495654,1915505.5161290322
2026-06-01,57419970,59456793,32601816,4365,40,565,0.5677783530712398,1.0354723800796135,1913999.0
