operator_number,operator_name,oil_bbl,gas_mcf,water_bbl,completion_months,leases,oil_share_pct,water_to_oil_ratio,cum_oil_share_pct
00689,SHELL OFFSHORE INC.,285342168,307651413,95486047,4403,60,26.50291261768726,0.3346369997441107,26.50291261768726
02481,BP EXPLORATION & PRODUCTION INC,212773207,141004875,103743929,2475,23,19.762623071210715,0.48757985304042534,46.26553568889798
00078,CHEVRON USA INC,124948634,73414626,34796529,1417,17,11.605374529156123,0.27848666997031757,57.8709102180541
00981,ANADARKO PETROLEUM CORPORATION,101074973,89679564,37558735,2173,41,9.387961113599232,0.3715928274351357,67.25887133165332
02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,52696765,77368041,15708528,1087,30,4.8945368566408325,0.29809283359234673,72.15340818829415
02058,LLOG EXPLORATION OFFSHORE LLC,43249085,41644056,14515019,676,20,4.017025343936998,0.33561447600567734,76.17043353223114
00003,UNION OIL COMPANY OF CALIFORNIA,30839477,7227290,1851565,252,3,2.8644065117854436,0.06003879378369484,79.03484004401659
03572,BOE EXPLORATION & PRODUCTION LLC,28160532,28102363,879101,177,5,2.6155829826861967,0.031217485521935453,81.65042302670278
00059,HESS CORPORATION,27217951,48443923,13025822,693,13,2.5280349625208345,0.47857467301634865,84.17845798922362
03672,TALOS QN EXPLORATION LLC,24888253,50823507,11343029,1525,23,2.311649901201749,0.45575834511164764,86.49010789042536
02010,WOODSIDE ENERGY (GOM) INC,18678007,7425816,14683497,504,6,1.7348350258330938,0.7861383176481302,88.22494291625846
03362,KOSMOS ENERGY GULF OF MEXICO OPERATIONS LLC,13229154,13230704,3167207,144,7,1.228739218340585,0.23941115206611097,89.45368213459903
00276,EXXON MOBIL CORPORATION,12546145,1442313,792789,199,5,1.1653005476002198,0.0631898483558097,90.61898268219926
02628,ARENA OFFSHORE LP,12526709,34777900,84547650,11674,63,1.1634953093024674,6.7493904424538,91.78247799150172
03026,TALOS ENERGY VENTURES LLC,11778195,20169347,11247630,2338,23,1.0939724579336658,0.9549536240485066,92.87645044943538
02117,SHELL GULF OF MEXICO INC,9368921,19654724,691419,59,1,0.8701962851316639,0.07379921337793327,93.74664673456705
01834,TALOS PETROLEUM LLC,9165634,33281053,11955886,3266,25,0.8513147520057511,1.3044254221802878,94.5979614865728
03567,BEACON GROWTHCO OPERATING COMPANY LLC,8374294,10011427,2269036,275,8,0.7778141719201584,0.27095251253419095,95.37577565849296
03481,CANTIUM LLC,7904014,9716443,30131879,11226,36,0.7341340182534001,3.8122249024356485,96.10990967674635
02451,GOM SHELF LLC,6786153,15057310,34563989,10138,52,0.630305787713985,5.093311188238756,96.74021546446033
01284,W & T OFFSHORE INC,6203209,40464882,34258109,10175,74,0.5761612706196694,5.522643038466058,97.31637673508
00162,ENI PETROLEUM CO INC,6183354,13690876,7919780,571,11,0.5743171151143248,1.280822673261146,97.89069385019432
00730,WALTER OIL & GAS CORPORATION,5886920,19894032,12843658,787,22,0.5467839802328672,2.1817279664068816,98.4374778304272
02899,TALOS ERT LLC,5382880,7790778,9458433,3596,14,0.49996815847945897,1.7571324272508397,98.93744598890666
03247,TALOS ENERGY OFFSHORE LLC,2328204,7778458,2381632,527,13,0.21624629686051153,1.02294816089999,99.15369228576718
03148,W & T ENERGY VI LLC,2043477,8031991,773022,659,7,0.18980052176253778,0.37828759511362253,99.34349280752971
03269,TALOS OIL AND GAS LLC,1339200,1899267,2538316,578,3,0.12438645443251409,1.8953972520908005,99.46787926196222
03209,RENAISSANCE OFFSHORE LLC,1135420,1785206,3758092,2814,11,0.10545913089289512,3.309869475612549,99.57333839285512
02961,BYRON ENERGY INC,901191,1086674,445059,252,3,0.0837036687996504,0.4938564632802591,99.65704206165478
03407,ARRAY PETROLEUM LLC,763322,2193380,5226135,7066,17,0.07089823564093155,6.846566717584453,99.7279402972957
03695,KNOC EAGLE FORD CORPORATION,618093,459510,1448777,255,3,0.057409197117350604,2.3439466229192045,99.78534949441305
02806,MARUBENI OIL & GAS USA LLC,439467,794473,6189130,90,3,0.04081820636954426,14.083264499951078,99.8261677007826
03521,DEEPWATER ABANDONMENT ALTERNATIVES INC,365519,658633,1582770,96,3,0.03394983007595439,4.330198977344543,99.86011753085856
02795,GOMEX ENERGY OFFSHORE LTD,343875,247651,1308261,198,2,0.031939510168743114,3.804466739367503,99.8920570410273
03520,SANARE ENERGY PARTNERS LLC,325460,2569556,2400777,730,12,0.030229103539132343,7.376565476556259,99.92228614456643
03650,GREYHOUND ENERGY LLC,304576,408899,702894,756,4,0.02828937331633618,2.307778682496323,99.95057551788277
