equipment_id,equipment_name,equipment_type,field_id,criticality,failures,total_downtime_hours,maintenance_cost_usd,mtbf_hours,mttr_hours,availability_pct,priority_score
EQ-0018,Compressor 002-06,Compressor,FIELD-002,High,12,631.86,372856.56,2139.345,43.4275,97.59785583941606,1895.58
EQ-0005,Compressor 001-05,Compressor,FIELD-001,High,11,518.26,350545.17,2344.158181818182,36.02818181818182,98.0297293187348,1554.78
EQ-0006,Compressor 001-06,Compressor,FIELD-001,High,10,513.47,351927.69,2579.053,38.925,98.04793947688565,1540.41
EQ-0030,Compressor 003-06,Compressor,FIELD-003,High,10,506.12,441367.05,2579.788,41.542,98.07588199513384,1518.3600000000001
EQ-0039,Pump 004-03,Pump,FIELD-004,High,20,456.93,241110.51,1292.3535,18.584,98.26288777372262,1370.79
EQ-0029,Compressor 003-05,Compressor,FIELD-003,High,9,427.87,358233.65,2875.125555555556,32.82666666666667,98.3733652676399,1283.6100000000001
EQ-0019,Separator 002-07,Separator,FIELD-002,High,9,422.22,308561.97000000003,2875.753333333333,37.22444444444445,98.39484489051095,1266.66
EQ-0040,Pump 004-04,Pump,FIELD-004,High,16,412.48,194386.89,1618.22,21.435,98.43187347931874,1237.44
EQ-0017,Compressor 002-05,Compressor,FIELD-002,High,7,376.31,408435.34,3703.9557142857134,37.205714285714286,98.56938108272506,1128.93
EQ-0042,Compressor 004-06,Compressor,FIELD-004,Medium,14,552.65,317505.79,1839.3821428571428,31.513571428571428,97.89898874695864,1105.3
