stage,table,check,column,failed_rows,total_rows,status,detail
processed,dim_field,primary_key_uniqueness,field_id,0,4,PASS,
processed,dim_well,primary_key_uniqueness,well_id,0,60,PASS,
processed,dim_equipment,primary_key_uniqueness,equipment_id,0,48,PASS,
processed,dim_supplier,primary_key_uniqueness,supplier_id,0,8,PASS,
processed,dim_material,primary_key_uniqueness,material_id,0,40,PASS,
processed,dim_warehouse,primary_key_uniqueness,warehouse_id,0,4,PASS,
processed,dim_date,primary_key_uniqueness,date_key,0,1096,PASS,
processed,fact_production,primary_key_uniqueness,date+well_id,0,58642,PASS,
processed,fact_sensor,primary_key_uniqueness,timestamp+equipment_id,0,105216,PASS,
processed,fact_maintenance,primary_key_uniqueness,maintenance_id,0,1107,PASS,
processed,fact_maintenance_material,primary_key_uniqueness,maintenance_id+material_id,0,1184,PASS,
processed,fact_sales,primary_key_uniqueness,date+field_id,0,4383,PASS,
processed,fact_operating_cost,primary_key_uniqueness,date+field_id+cost_category,0,30674,PASS,
processed,fact_inventory,primary_key_uniqueness,date+material_id+warehouse_id,0,87637,PASS,
processed,fact_purchase_order,primary_key_uniqueness,po_id,0,1965,PASS,
processed,fact_hse,primary_key_uniqueness,incident_id,0,394,PASS,
processed,bridge_equipment_well,primary_key_uniqueness,equipment_id+well_id,0,452,PASS,
processed,fact_production,duplicate_rows,*,0,58642,PASS,
processed,fact_sensor,duplicate_rows,*,0,105216,PASS,
processed,fact_maintenance,duplicate_rows,*,0,1107,PASS,
processed,fact_maintenance_material,duplicate_rows,*,0,1184,PASS,
processed,fact_sales,duplicate_rows,*,0,4383,PASS,
processed,fact_operating_cost,duplicate_rows,*,0,30674,PASS,
processed,fact_inventory,duplicate_rows,*,0,87637,PASS,
processed,fact_purchase_order,duplicate_rows,*,0,1965,PASS,
processed,fact_hse,duplicate_rows,*,0,394,PASS,
processed,fact_production,null_check,date,0,58642,PASS,
processed,fact_production,null_check,well_id,0,58642,PASS,
processed,fact_production,null_check,oil_production_bbl,0,58642,PASS,
processed,fact_production,null_check,pressure_psi,0,58642,PASS,
processed,fact_production,null_check,temperature_c,0,58642,PASS,
processed,fact_production,null_check,water_cut_pct,0,58642,PASS,
processed,fact_production,null_check,potential_production_bbl,0,58642,PASS,
processed,fact_sensor,null_check,timestamp,0,105216,PASS,
processed,fact_sensor,null_check,equipment_id,0,105216,PASS,
processed,fact_sensor,null_check,temperature_c,0,105216,PASS,
processed,fact_sensor,null_check,pressure_psi,0,105216,PASS,
