model,origin,mae,rmse,mape_pct,bias
Naive (last value),2024-07-04,1520.4006628466666,1989.775167230066,14.280031787737432,1293.0794064866664
Naive (last value),2024-08-03,2504.364089569999,2628.3843697783554,18.908796583617455,-2504.364089569999
Naive (last value),2024-09-02,1061.7495406033336,1277.3992116157856,8.591204777434488,1061.7495406033336
Naive (last value),2024-10-02,918.5808402733334,1268.475669576314,8.100014410041446,808.440783453333
Naive (last value),2024-11-01,1633.7971623166663,1831.034801430101,13.034301098477446,-1626.7771623166666
Naive (last value),2024-12-01,470.26851871666685,710.0621866239834,4.046302187204492,417.6507694300008
Moving average (7d),2024-07-04,1401.177657656191,1833.2681573583175,13.111227637069678,1036.2052268438097
Moving average (7d),2024-08-03,937.0375517509534,1055.5221817942913,7.078383539266195,-691.0587341842876
Moving average (7d),2024-09-02,622.7072760776194,824.2153524418576,5.074575834636883,418.20364457476313
Moving average (7d),2024-10-02,895.3740531400001,1233.0622423580623,7.888088924760896,751.6571489533334
Moving average (7d),2024-11-01,800.4771623166678,885.4339329304802,6.648305382146634,-278.7628766023832
Moving average (7d),2024-12-01,1138.182563903335,1226.9659633194685,9.116419973745096,-1084.292087712859
Moving average (30d),2024-07-04,1912.335984006669,2392.57871494059,17.811627250093558,1853.990842086669
Moving average (30d),2024-08-03,1134.0076147593345,1271.6709808947924,8.506853429968155,-990.2434960566682
Moving average (30d),2024-09-02,588.9964552833334,726.0518281674284,4.720370167453507,150.7136301733331
Moving average (30d),2024-10-02,845.8675681928888,1126.9662862136809,7.395181918440796,560.8912428499997
Moving average (30d),2024-11-01,671.6198812135553,859.1925190066287,5.807553425715588,178.68205423000242
Moving average (30d),2024-12-01,503.0981075088897,599.2414079747294,4.139965235757885,-171.27206825333536
Simple exponential smoothing,2024-07-04,1493.5696728922874,1957.4553301544518,14.024776956870683,1242.7713003222054
Simple exponential smoothing,2024-08-03,1556.5536856052645,1715.2791832829544,11.64505655749009,-1518.4260846140803
Simple exponential smoothing,2024-09-02,816.2411210890423,1066.988154770005,6.6668525629446584,796.2581638854693
Simple exponential smoothing,2024-10-02,848.416553324079,1136.6019691951503,7.42596690056299,580.008631333926
Simple exponential smoothing,2024-11-01,1070.2070081607185,1188.1448434319927,8.61161112816305,-839.8831232742637
Simple exponential smoothing,2024-12-01,717.5153345791259,813.0733228401335,5.77363321159829,-575.614527827899
Damped Holt (trend) smoothing,2024-07-04,1493.301328591972,1957.1508996096782,14.022263683118288,1242.3246977316574
Damped Holt (trend) smoothing,2024-08-03,1557.2595744486855,1715.981108433644,11.650411892032173,-1519.1339092060123
Damped Holt (trend) smoothing,2024-09-02,817.7889623471717,1068.3682540071002,6.679082102912521,798.2454427114848
Damped Holt (trend) smoothing,2024-10-02,848.2575173085904,1136.2014547216734,7.424316517266154,579.317305574484
Damped Holt (trend) smoothing,2024-11-01,1071.6197261169975,1190.1601728118455,8.621908045322819,-842.6996728824728
Damped Holt (trend) smoothing,2024-12-01,718.7415812489295,814.2496555234542,5.783263778387846,-577.3007742390497
Autoregression AR(7) OLS,2024-07-04,2136.122089539654,2613.820465819592,19.760696049244427,2010.0416292934156
Autoregression AR(7) OLS,2024-08-03,759.670835783301,908.9849172715438,5.98193742597137,340.3590643981271
Autoregression AR(7) OLS,2024-09-02,1311.9639228809515,1471.1399010109387,10.510792720620438,1311.9639228809515
Autoregression AR(7) OLS,2024-10-02,1437.0113819619366,1781.4179038969748,12.449763914738858,1411.161736848745
Autoregression AR(7) OLS,2024-11-01,756.427938210482,1049.3079411728427,6.644240920126649,356.9915172010274
Autoregression AR(7) OLS,2024-12-01,603.571698897185,781.661633047001,5.066618696122956,144.32936824695068
