date,forecast_oil_bbl,model
2025-01-01,12304.04923057,Moving average (30d)
2025-01-02,12304.04923057,Moving average (30d)
2025-01-03,12304.04923057,Moving average (30d)
2025-01-04,12304.04923057,Moving average (30d)
2025-01-05,12304.04923057,Moving average (30d)
2025-01-06,12304.04923057,Moving average (30d)
2025-01-07,12304.04923057,Moving average (30d)
2025-01-08,12304.04923057,Moving average (30d)
2025-01-09,12304.04923057,Moving average (30d)
2025-01-10,12304.04923057,Moving average (30d)
2025-01-11,12304.04923057,Moving average (30d)
2025-01-12,12304.04923057,Moving average (30d)
2025-01-13,12304.04923057,Moving average (30d)
2025-01-14,12304.04923057,Moving average (30d)
2025-01-15,12304.04923057,Moving average (30d)
2025-01-16,12304.04923057,Moving average (30d)
2025-01-17,12304.04923057,Moving average (30d)
2025-01-18,12304.04923057,Moving average (30d)
2025-01-19,12304.04923057,Moving average (30d)
2025-01-20,12304.04923057,Moving average (30d)
2025-01-21,12304.04923057,Moving average (30d)
2025-01-22,12304.04923057,Moving average (30d)
2025-01-23,12304.04923057,Moving average (30d)
2025-01-24,12304.04923057,Moving average (30d)
2025-01-25,12304.04923057,Moving average (30d)
2025-01-26,12304.04923057,Moving average (30d)
2025-01-27,12304.04923057,Moving average (30d)
2025-01-28,12304.04923057,Moving average (30d)
2025-01-29,12304.04923057,Moving average (30d)
2025-01-30,12304.04923057,Moving average (30d)
