equipment_type,failure_type,failures,downtime_hours,avg_downtime_hours,cost_usd
Pump,Impeller Wear,57,1155.44,20.270877192982457,760738.71
Pump,Motor Overheating,55,1477.73,26.867818181818183,698645.28
Pump,Bearing Failure,46,977.4499999999999,21.24891304347826,564608.25
Pump,Seal Leak,41,880.69,21.480243902439025,567682.13
Compressor,Overheating,22,861.9300000000001,39.178636363636365,698867.52
Compressor,Valve Failure,22,828.35,37.65227272727273,547640.66
Compressor,Seal Leak,20,708.54,35.427,430023.27
Generator,Electrical Fault,17,270.79,15.928823529411765,148625.24
Separator,Level Control Fault,16,450.95,28.184375,305597.66
Compressor,Excessive Vibration,16,534.71,33.419375,348504.72
Separator,Fouling,15,489.11,32.60733333333334,301470.63
Separator,Valve Failure,12,247.57999999999998,20.631666666666664,211804.75
Generator,Overheating,10,163.49,16.349,94196.92
Pipeline Equipment,Pressure Fault,10,341.73,34.173,164321.30000000002
Generator,Fuel System Fault,8,218.48,27.31,93337.99
Valve,Actuator Failure,8,76.96,9.62,92716.73
Heat Exchanger,Gasket Failure,7,252.95,36.135714285714286,113275.56
Valve,Seat Leakage,7,60.19,8.598571428571429,83956.68000000001
Valve,Stuck Valve,7,59.03999999999999,8.434285714285712,129305.7
Heat Exchanger,Tube Fouling,6,152.75,25.458333333333332,79656.1
Pipeline Equipment,Flange Leak,5,95.57000000000001,19.114,62860.57
Pipeline Equipment,Corrosion Leak,4,99.60000000000001,24.900000000000002,63889.58
Heat Exchanger,Tube Leak,1,16.84,16.84,9021.51
