equipment_id,equipment_name,equipment_type,maintenance_cost_usd,cum_share_pct
EQ-0030,Compressor 003-06,Compressor,441367.05,4.5594243728182
EQ-0017,Compressor 002-05,Compressor,408435.34,8.778656515127619
EQ-0018,Compressor 002-06,Compressor,372856.56,12.630351577613936
EQ-0029,Compressor 003-05,Compressor,358233.65,16.330988575717043
EQ-0006,Compressor 001-06,Compressor,351927.69,19.96648353904883
EQ-0005,Compressor 001-05,Compressor,350545.17,23.58769674894227
EQ-0016,Pump 002-04,Pump,347280.21,27.175182161982104
EQ-0042,Compressor 004-06,Compressor,317505.79,30.45509088520215
EQ-0019,Separator 002-07,Separator,308561.97000000003,33.642607865780555
EQ-0015,Pump 002-03,Pump,266841.8,36.39914577817497
EQ-0027,Pump 003-03,Pump,257474.22,39.058914408480184
EQ-0028,Pump 003-04,Pump,252647.45,41.66882138105635
EQ-0041,Compressor 004-05,Compressor,249468.94,44.24589360540368
EQ-0039,Pump 004-03,Pump,241110.51,46.73662130208295
EQ-0013,Pump 002-01,Pump,223881.33,49.04936755856258
EQ-0004,Pump 001-04,Pump,221848.6,51.34111524094075
EQ-0038,Pump 004-02,Pump,210660.6,53.517288278852185
EQ-0044,Separator 004-08,Separator,207322.49,55.65897786338134
EQ-0002,Pump 001-02,Pump,202572.34,57.75159729261787
EQ-0031,Separator 003-07,Separator,201050.44,59.82849514056965
EQ-0025,Pump 003-01,Pump,197834.7,61.872173645725795
EQ-0040,Pump 004-04,Pump,194386.89,63.880235470962475
EQ-0022,Valve 002-10,Valve,194085.76,65.88518655319878
EQ-0020,Separator 002-08,Separator,180888.95,67.75381151603524
EQ-0024,Pipeline Equipment 002-12,Pipeline Equipment,179489.1,69.6079757024991
EQ-0046,Valve 004-10,Valve,175699.43,71.42299171566154
EQ-0014,Pump 002-02,Pump,169813.07,73.17720025973179
EQ-0008,Separator 001-08,Separator,168077.41999999998,74.91347913525819
EQ-0026,Pump 003-02,Pump,167359.16999999998,76.64233832108238
EQ-0045,Generator 004-09,Generator,155614.2,78.24986923268216
EQ-0021,Generator 002-09,Generator,155163.54,79.85274472157231
EQ-0003,Pump 001-03,Pump,153794.75,81.44148029112033
EQ-0007,Separator 001-07,Separator,149266.79,82.9834409797996
EQ-0037,Pump 004-01,Pump,134755.29,84.37549449533091
EQ-0010,Valve 001-10,Valve,131625.03999999998,85.73521179966791
EQ-0034,Valve 003-10,Valve,129894.41,87.07705129322964
EQ-0023,Heat Exchanger 002-11,Heat Exchanger,127445.27,88.39359060045341
EQ-0043,Separator 004-07,Separator,125975.31,89.69494487868357
EQ-0001,Pump 001-01,Pump,125650.46,90.99294338079157
EQ-0032,Separator 003-08,Separator,118601.85,92.21812810074591
EQ-0048,Pipeline Equipment 004-12,Pipeline Equipment,116843.16,93.4251451435929
EQ-0009,Generator 001-09,Generator,112435.06,94.58662548727347
EQ-0011,Heat Exchanger 001-11,Heat Exchanger,102908.25,95.64969166589752
EQ-0036,Pipeline Equipment 003-12,Pipeline Equipment,100902.35,96.6920364305659
EQ-0035,Heat Exchanger 003-11,Heat Exchanger,86706.73999999999,97.58773723932272
EQ-0047,Heat Exchanger 004-11,Heat Exchanger,80978.37,98.42426265246601
EQ-0012,Pipeline Equipment 001-12,Pipeline Equipment,77905.56,99.22904522298653
EQ-0033,Generator 003-09,Generator,74630.92,100.0
