feature,rf_importance,logreg_abs_coef_standardised
vib_ratio_3d,0.14113195966840447,0.5052483660563986
vib_ratio_7d,0.12010949920803907,0.13523273697076377
temp_delta_3d,0.09311069571761095,0.13098483819221907
vib_std_7d,0.08858268784435892,0.24941358274853456
age_years,0.0752601163285774,0.179970388758851
days_since_maintenance,0.06848604453154666,0.07883014596008789
vib_mean,0.0635952080941418,0.9076034619287201
flow_ratio_3d,0.06113898524221436,0.2827663617572642
vib_max,0.058555420092363135,0.8609149486787209
kwh_ratio_3d,0.04745395589377249,0.3353958827418595
temp,0.04592278351546672,1.310715905072813
pressure,0.04227391282860875,0.09472281241896635
flow,0.0367970467501875,0.1273924850337287
kwh,0.03673129547668025,0.4440370981869084
crit_num,0.010000904403235611,0.0985488452258261
type_Pump,0.003032808908897159,0.08059379706112814
type_Heat Exchanger,0.0016910575828049108,0.0076978435446586665
type_Compressor,0.0012886573139331012,0.9118704325571756
type_Separator,0.0012799056130996305,0.6470496297274231
op_hours,0.0010778341465354575,0.17065190861611826
type_Valve,0.0009745079128711357,1.0420178935971425
type_Pipeline Equipment,0.0007804265370372692,0.9867467622661484
type_Generator,0.0007242863896133476,1.5265212724902222
