equipment_id,equipment_name,equipment_type,field_id,criticality,date,failure_risk_score_7d
EQ-0045,Generator 004-09,Generator,FIELD-004,Medium,2024-12-31,0.37653361593213197
EQ-0027,Pump 003-03,Pump,FIELD-003,Medium,2024-12-31,0.3330782739253417
EQ-0016,Pump 002-04,Pump,FIELD-002,Medium,2024-12-31,0.31113769397307556
EQ-0030,Compressor 003-06,Compressor,FIELD-003,High,2024-12-31,0.30217598672576185
EQ-0009,Generator 001-09,Generator,FIELD-001,High,2024-12-31,0.3021219876689553
EQ-0039,Pump 004-03,Pump,FIELD-004,High,2024-12-31,0.2833867631382228
EQ-0029,Compressor 003-05,Compressor,FIELD-003,High,2024-12-31,0.2606279877331082
EQ-0041,Compressor 004-05,Compressor,FIELD-004,Medium,2024-12-31,0.25659620918856774
EQ-0011,Heat Exchanger 001-11,Heat Exchanger,FIELD-001,Medium,2024-12-31,0.24837063974848836
EQ-0017,Compressor 002-05,Compressor,FIELD-002,High,2024-12-31,0.2427165064450486
EQ-0003,Pump 001-03,Pump,FIELD-001,Medium,2024-12-31,0.19699140908596244
EQ-0021,Generator 002-09,Generator,FIELD-002,High,2024-12-31,0.19392788247005147
EQ-0018,Compressor 002-06,Compressor,FIELD-002,High,2024-12-31,0.18698128106298456
EQ-0005,Compressor 001-05,Compressor,FIELD-001,High,2024-12-31,0.18641585766939403
EQ-0038,Pump 004-02,Pump,FIELD-004,Medium,2024-12-31,0.18302977104317392
EQ-0006,Compressor 001-06,Compressor,FIELD-001,High,2024-12-31,0.17962763157391
EQ-0015,Pump 002-03,Pump,FIELD-002,Medium,2024-12-31,0.1768151178305416
EQ-0035,Heat Exchanger 003-11,Heat Exchanger,FIELD-003,Medium,2024-12-31,0.16514630038024813
EQ-0036,Pipeline Equipment 003-12,Pipeline Equipment,FIELD-003,Medium,2024-12-31,0.16062384820599238
EQ-0022,Valve 002-10,Valve,FIELD-002,Low,2024-12-31,0.15943086050167385
EQ-0025,Pump 003-01,Pump,FIELD-003,Medium,2024-12-31,0.14750582138429075
EQ-0013,Pump 002-01,Pump,FIELD-002,Low,2024-12-31,0.14338195005225424
EQ-0002,Pump 001-02,Pump,FIELD-001,Medium,2024-12-31,0.14076378803485443
EQ-0031,Separator 003-07,Separator,FIELD-003,High,2024-12-31,0.1282067672121542
EQ-0042,Compressor 004-06,Compressor,FIELD-004,Medium,2024-12-31,0.12341566833127371
EQ-0028,Pump 003-04,Pump,FIELD-003,Medium,2024-12-31,0.11972921640876134
EQ-0019,Separator 002-07,Separator,FIELD-002,High,2024-12-31,0.11697301469147847
EQ-0026,Pump 003-02,Pump,FIELD-003,Medium,2024-12-31,0.11204700671177621
EQ-0033,Generator 003-09,Generator,FIELD-003,High,2024-12-31,0.10853533932388296
EQ-0040,Pump 004-04,Pump,FIELD-004,High,2024-12-31,0.10391690358567579
EQ-0043,Separator 004-07,Separator,FIELD-004,High,2024-12-31,0.09168587851328934
EQ-0001,Pump 001-01,Pump,FIELD-001,Medium,2024-12-31,0.0902675615029667
EQ-0014,Pump 002-02,Pump,FIELD-002,Medium,2024-12-31,0.08451603228047516
EQ-0004,Pump 001-04,Pump,FIELD-001,Medium,2024-12-31,0.08141326077051134
EQ-0023,Heat Exchanger 002-11,Heat Exchanger,FIELD-002,High,2024-12-31,0.08018033156670813
EQ-0010,Valve 001-10,Valve,FIELD-001,Low,2024-12-31,0.07552767359686045
EQ-0020,Separator 002-08,Separator,FIELD-002,High,2024-12-31,0.07448119658560673
EQ-0037,Pump 004-01,Pump,FIELD-004,Medium,2024-12-31,0.058696645356637246
EQ-0046,Valve 004-10,Valve,FIELD-004,Low,2024-12-31,0.056284149389032125
EQ-0007,Separator 001-07,Separator,FIELD-001,High,2024-12-31,0.05092516056514917
EQ-0034,Valve 003-10,Valve,FIELD-003,Low,2024-12-31,0.049127711363910725
EQ-0008,Separator 001-08,Separator,FIELD-001,Medium,2024-12-31,0.04818265333794337
EQ-0024,Pipeline Equipment 002-12,Pipeline Equipment,FIELD-002,High,2024-12-31,0.04491509233835142
EQ-0047,Heat Exchanger 004-11,Heat Exchanger,FIELD-004,Medium,2024-12-31,0.043678202245536334
EQ-0044,Separator 004-08,Separator,FIELD-004,High,2024-12-31,0.03307303737240006
EQ-0012,Pipeline Equipment 001-12,Pipeline Equipment,FIELD-001,Medium,2024-12-31,0.02601498342653243
EQ-0032,Separator 003-08,Separator,FIELD-003,Medium,2024-12-31,0.016284361310253178
EQ-0048,Pipeline Equipment 004-12,Pipeline Equipment,FIELD-004,Medium,2024-12-31,0.0
