product_id,product_name,category,sub_category,total_sales,total_profit,total_quantity,order_count,avg_discount,profit_margin,revenue_contribution_pct,profit_contribution_pct
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.824,25199.928,20,5,0.12000000000000002,0.40909090909090906,2.6477074746886324,8.62134882806896
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.384,7753.039,31,10,0.24000000000000005,0.28240740740740744,1.1800119757208607,2.652454153703254
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.0784,6,1,0.5,-0.08,0.9730559085946269,-0.6196025100302274
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.576,1.1368683772161603e-13,39,8,0.2,5.198163858218276e-18,0.9400495616829329,3.8894312918597245e-17
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19823.479,2233.5051000000003,37,11,0.3,0.11266968325791857,0.852060446189475,0.7641222854434762
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19024.5,760.9799999999998,48,9,0.5222222222222223,0.03999999999999999,0.8177184216015598,0.2603449514293817
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.686,6983.8836,38,8,0.2,0.37070063694267513,0.8097746747293756,2.3893122508219085
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.895,4094.9766,12,3,0.16666666666666666,0.22285714285714284,0.7897968480903252,1.4009651817806708
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.068,-1878.1662000000006,27,6,0.45,-0.10454545454545458,0.7721815053706899,-0.6425544536194205
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.311999999998,-262.00480000000005,11,3,0.06666666666666667,-0.015384615384615389,0.7320034612222188,-0.08963655671668755
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.901,-4589.973000000001,18,4,0.4,-0.27272727272727276,0.7233893180598973,-1.5703123574169804
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.2,-1299.1835999999996,22,6,0.10000000000000002,-0.07799999999999997,0.715923234454514,-0.44447408767621915
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,15875.916000000001,3345.2823,13,3,0.3333333333333333,0.2107142857142857,0.6823847655916818,1.1444812714014434
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.9656,-669.5448000000001,24,5,0.23399999999999999,-0.042889390519187366,0.6709965649614049,-0.22906332418170672
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14299.89,3717.9714000000004,11,2,0.0,0.26,0.6146434061276738,1.271984918853098
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,13943.668,1822.7566,39,6,0.13333333333333333,0.13072289156626507,0.5993321342635116,0.6235978323932101
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,13565.5715,-359.35409999999973,53,14,0.23214285714285715,-0.026490155611947477,0.5830806441747801,-0.12294150399543893
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,12996.6,1611.5784,24,6,0.20000000000000004,0.124,0.5586248909662189,0.5513499701340913
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,12975.382,951.862,32,9,0.2,0.07335907335907337,0.557712890678719,0.3256491184492026
