order_year_month,revenue,profit,orders,units
2023-01,14518.055,2539.3907,33,306
2023-02,4519.892,862.3083999999999,28,159
2023-03,56933.909,693.4498999999997,72,597
2023-04,28295.345,3488.8352,66,536
2023-05,26319.767,3196.3918000000003,72,504
2023-06,34669.4796,4999.7594,67,524
2023-07,33946.393,-841.4826000000003,65,550
2023-08,28918.3385,5765.225,75,624
2023-09,82670.42880000001,8593.630199999998,134,1015
2023-10,32413.339,3469.1749,81,605
2023-11,78826.9567,9362.955699999999,152,1235
2023-12,72008.3085,9554.6571,150,1158
2024-01,18461.9156,-3189.803,31,260
2024-02,11951.411,2813.8508,36,239
2024-03,39978.628,9930.6134,81,528
2024-04,34195.2085,4187.4962,72,543
2024-05,30246.946500000002,4677.137,75,595
2024-06,24797.292,3335.5572,68,486
2024-07,28765.325,3288.6483,66,557
2024-08,37057.0042,5371.627399999999,69,603
2024-09,64627.046,8220.025099999999,142,1090
2024-10,31407.1335,2817.966,88,632
2024-11,75972.5635,12474.7884,158,1310
2024-12,75532.5572,8093.0626999999995,167,1243
2025-01,18830.331,2916.0233,50,382
2025-02,22978.815000000002,5004.5795,45,306
2025-03,53031.069,3707.8862,88,592
2025-04,38829.159,2991.6609000000003,90,640
2025-05,57042.838,8676.696399999999,109,875
2025-06,40937.148,4926.319399999999,100,768
2025-07,40300.498999999996,4559.882699999999,97,774
2025-08,31716.814300000002,2317.4993000000004,91,704
2025-09,73521.6629,9370.103099999998,195,1325
2025-10,59831.001000000004,16256.842200000001,107,770
2025-11,79411.9658,4011.4074999999993,183,1406
2025-12,97502.277,17926.3013,185,1476
2026-01,44259.214,7231.639099999999,71,621
2026-02,20301.1334,1613.8719999999996,53,363
2026-03,60728.4808,15013.091,121,914
2026-04,36779.0361,957.5299999999995,117,736
2026-05,45155.4822,6299.807199999999,121,901
2026-06,53056.0777,8246.5707,134,934
2026-07,45989.496,7006.5012,112,856
2026-08,64129.758,9488.0722,114,899
2026-09,88064.532,11050.8024,231,1685
2026-10,83474.7832,10670.5312,151,1166
2026-11,118454.505,9692.1037,262,1842
2026-12,85175.0328,8655.8269,236,1820
