sub_category,revenue,profit,units,margin
Chairs,335768.249,27223.532299999995,2431,0.08107834013811113
Phones,331842.64,45050.8265,3357,0.13575960732472475
Storage,224644.554,21285.1115,3191,0.09475017809690592
Tables,208020.182,-17753.2061,1261,-0.0853436716058637
Binders,207354.881,31426.1003,6071,0.15155708005735347
Machines,189925.031,3461.9768999999987,442,0.018228123390433983
Accessories,167380.318,41936.6357,2976,0.2505469950176579
Copiers,150745.29,56093.9365,242,0.37211070740584995
Bookcases,115361.2043,-3632.0736000000015,878,-0.031484359252653894
Appliances,108213.185,18329.4844,1750,0.16938309689341463
Furnishings,95598.126,13891.743,3799,0.14531396776543506
Paper,79540.538,34511.507,5207,0.4338857627540814
Supplies,46725.498,-1171.3944999999999,653,-0.025069706052143093
Art,27659.014,6653.1962,3092,0.24054350599771923
Envelopes,16528.362,6988.0247,914,0.4227899110631773
Labels,12695.042,5572.778,1410,0.4389727895346861
Fasteners,8532.24,2428.6358,980,0.28464222759791097
